Finish	Start	Car No.	Driver	Car Name	Car Make	Entrant	Laps	Status
1	11	11	Bill Elliott	Budweiser	Ford	Junior Johnson & Associates	328	Running
2	14	7	Alan Kulwicki	Hooters	Ford	AK Racing	328	Running
3	8	15	Geoffrey Bodine	Motorcraft	Ford	Bud Moore Engineering	328	Running
4	18	12	Jimmy Spencer	Raybestos Brakes	Ford	Bobby Allison Motorsports	328	Running
5	6	94	Terry Labonte	Sunoco	Chevrolet	Billy Hagan	328	Running
6	15	2	Rusty Wallace	Miller Genuine Draft	Pontiac	Penske Racing South	328	Running
7	12	22	Sterling Marlin	Maxwell House Coffee	Ford	Junior Johnson & Associates	327	Running
8	34	66	Jimmy Hensley	TropArtic	Ford	Cale Yarborough Motorsports	326	Running
9	22	55	Ted Musgrave	Jasper Engines	Ford	RaDiUs Racing	326	Running
10	32	18	Dale Jarrett	Interstate Batteries	Chevrolet	Joe Gibbs Racing	326	Running
11	9	21	Morgan Shepherd	Citgo	Ford	Wood Brothers Racing	325	Running
12	27	68	Bobby Hamilton	Country Time	Ford	Tri-Star Motorsports	325	Running
13	29	33	Harry Gant	Skoal Bandit	Oldsmobile	Leo Jackson Motorsports	324	Running
14	25	30	Michael Waltrip	Pennzoil	Pontiac	Bahari Racing	324	Running
15	10	10	Derrike Cope	Purolator	Chevrolet	Whitcomb Racing	322	Running
16	20	42	Kyle Petty	Mello Yello	Pontiac	Team SABCO	320	Engine
17	35	9	Chad Little	Mayflower Transit	Ford	Melling Racing	320	Running
18	13	83	Lake Speed	Purex	Ford	Lake Speed	320	Running
19	40	23	Eddie Bierschwale	SplitFire	Oldsmobile	Don Bierschwale	319	Running
20	38	88	Mike Wallace	FDP Brakes	Ford	Barry Owen	317	Running
21	37	52	Jimmy Means	Hurley Limo	Ford	Means Racing	317	Running
22	41	71	Dave Marcis	Southeastern Tech Group	Chevrolet	Marcis Auto Racing	317	Running
23	24	17	Darrell Waltrip	Western Auto	Chevrolet	Darrell Waltrip Motorsports	307	Running
24	36	32	Jimmy Horton	Active Trucking	Chevrolet	Active Motorsports	303	Running
25	16	5	Ricky Rudd	Tide	Chevrolet	Hendrick Motorsports	300	Engine
26	3	3	Dale Earnhardt	GM Goodwrench	Chevrolet	Richard Childress Racing	299	Running
27	17	28	Davey Allison	Havoline	Ford	Robert Yates Racing	285	Running
28	1	1	Rick Mast	Skoal Classic	Oldsmobile	Richard Jackson Motorsports	253	Running
29	5	4	Ernie Irvan	Kodak Film	Chevrolet	Morgan-McClure Motorsports	251	Crash FS
30	31	90	Bobby Hillin, Jr.	Wrangler Jeans	Ford	Junie Donlavey	235	Engine
31	21	24	Jeff Gordon	DuPont Paints	Chevrolet	Hendrick Motorsports	164	Crash
32	4	6	Mark Martin	Valvoline	Ford	Roush Racing	160	Engine
33	28	57	Bob Schacht	Pronto Auto Parts	Oldsmobile	Doug Stringer	120	Ignition
34	26	45	Rich Bickle	Terminal Trucking	Ford	Gene Isenhour	97	Crash
35	39	43	Richard Petty	STP	Pontiac	Petty Enterprises	95	Running
36	23	25	Ken Schrader	Kodiak	Chevrolet	Hendrick Motorsports	94	Crash FS
37	7	8	Dick Trickle	Snickers	Ford	Stavola Brothers Racing	94	Crash FS
38	30	16	Wally Dallenbach, Jr.	Keystone Beer	Ford	Roush Racing	94	Crash FS
39	33	49	Stanley Smith	Ameritron Batteries	Chevrolet	Stanley Smith	60	Engine
40	2	26	Brett Bodine	Quaker State	Ford	King Racing	1	Crash T1
