Driver	Team	Laps	Time/Retired	Grid	Points
Raphael Matos	Sierra Sierra Enterprises	22	50:39.638	4	31
Robert Wickens	Red Bull Forsythe Racing	22	+0.2 secs	1	29
Jonathan Bomarito	PR1 Motorsports	22	+1.8 secs	3	25
James Hinchcliffe	Sierra Sierra Enterprises	22	+4.0 secs	2	24
Franck Perera	Condor Motorsports	22	+5.5 secs	6	21
Junior Strous	Condor Motorsports	22	+8.3 secs	15	19
Alan Sciuto	Alan Sciuto Racing	22	+9.5 secs	11	17
Ronnie Bremer	Polestar Racing Group	22	+10.6 secs	14	15
Justin Sofio	Mathiasen Motorsports	22	+11.0 secs	19	13
Matt Lee	Conquest Racing	22	+21.8 secs	12	11
Mike Forest	PR1 Motorsports	22	+39.8 secs	17	10
Brian Thienes	Condor Motorsports	22	+59.7 secs	22	10
J.R. Hildebrand	Newman Wachs Racing	21	Contact	5	8
Giacomo Ricci	Conquest Racing	21	Contact	10	7
Tom Sutherland	Jensen MotorSport	21	Contact	13	6
Dominick Muermans	Jensen MotorSport	21	Contact	24	5
Simona De Silvestro	Walker Racing	20	Contact	8	4
John Edwards	Red Bull Forsythe Racing	13	Contact	9	3
Dan Selznick	The Room Store	13	Contact	25	2
Frankie Muniz	Jensen MotorSport	13	Contact	21	1
Jiang Tengyi	Brooks Associates Racing	13	Contact	26	0
Adrien Herberts	Paladin Motorsports	13	Contact	16	0
Bret MacDonald	Polestar Racing Group	12	Contact	27	0
Richard Heistand	Genoa Racing	9	Contact	22	0
David Garza	US RaceTronics	6	Contact	18	0
Carl Skerlong	US RaceTronics	4	Contact	7	0
Adrian Carrio	Genoa Racing	0	Contact	20	0
