Overall place	Yacht name	Skipper	Points	Combined elapsed time
1	LG Flatron	Conrad Humphreys	95	171d 13h 33m 49s
2	Compaq	Will Oxley	86	173d 14h 59m 43s
3	BP	Mark Denton	78	175d 09h 54m 33s
4	Logica	Jeremy Troughton	71	175d 20h 46m 04s
5	TeamSpirit	Andy Dare, John Read	68	176d 22h 34m 43s
6=	Spirit of Hong Kong	Stephen Wilkins	62	178d 21h 34m 43s
6=	Quadstone	Alex Phillips, Richard Chenery	64*	179d 11h 58m 14s
8	Norwich Union	Neil Murray	60	180d 07h 58m 14s
9=	Isle of Man	Lin Parker	56	180d 21h 41m 18s
9=	Save the Children	Nick Fenton	56*	176d
10	Olympic	Manley Hopkinson	37*	183d
