Year	English title	Original title	Country	Director'
2000	Yi Yi: A One and a Two	Yi yi	Japan/Taiwan	Edward Yang
2001	No Man's Land	No Man's Land	Bosnia-Herzegovina	Danis Tanovic
2002	And Your Mother Too	Y tu mamá también	Mexico	Alfonso Cuarón
2003	The Man on the Train	L'homme du train	France	Patrice Leconte
2004	House of Flying Daggers	Shi mian mai fu	China/Hong Kong	Zhang Yimou
2005	Hidden	Caché	Austria/France	Michael Haneke
2006	The Lives of Others	Das Leben der Anderen	Germany	Florian Henckel von Donnersmarck
2007	4 Months, 3 Weeks and 2 Days	4 luni, 3 săptămâni şi 2 zile	Romania	Cristian Mungiu
2008	Still Life	Sanxia haoren	China/Hong Kong	Jia Zhangke
2009	Summer Hours	L'Heure d'été	France	Olivier Assayas
