Artist	Country	Number-one single(s)	Year	Weeks at #1	Straight to #1 ?
Ace of Base	Sweden	" Happy Nation "	1993	4	No
Adams, Bryan	Canada	" (Everything I Do) I Do It for You "	1991	8	No
Adams, Bryan	Canada	" Please Forgive Me "	1993	2	No
Alizée	France	" L'Alizé "	2000	2	No
Amine	Morocco	" J'voulais "	2006	4	Yes
Antonn, Kareen	France	" Si demain... (Turn Around) "	2004	10	No
Aqua	Denmark	" Barbie Girl "	1997	1	No
Audin, Jean-Philippe	France	" Song of Ocarina "	1991	2	No
Avalanche	Norway	" Johnny Johnny Come Home "	1989	8	No
Aventura	United States	" Obsesión "	2004	7	No
