Nat.	Name	Moving to	Type	Transfer window	Transfer fee
GRE	Zikos	Retirement	Retired	Summer	—
ARG	Blanco	Colón	Loan return	Summer	—
POR	Edinho	VitóriadeSetúbal	Loan return	Summer	—
HUN	Tozser	Genk	Transfer	Summer	€1.5M
GRE	Bourbos	Iraklis Thessaloniki	Released	Summer	Free
ARG	Azcarate	Poli Ejido	End of contract	Summer	Free
SEN	Diouf	Anagennisi Karditsa	Loan	Summer	—
BRA	Julio Cesar	Rapid București	End of contract	Summer	Free
POR	Manu	Benfica	Loan return	Summer	—
BRA	Moretto	Benfica	Loan return	Summer	—
SLE	Kallon	Al Shabab	End of contract	Summer	Free
GRE	Kapetanos	SteauaBucurești	Released	Summer	Free
CYP	Tofas	Anagennisi Karditsa	Loan	Summer	—
ITA	Sorrentino	Chievo	Loan	Summer	€200K
GRE	Pappas	Skoda Xanthi	Transfer	Summer	€ 60K
GRE	Liberopoulos	Eintracht Frankfurt	Released	Summer	Free
GHA	Yahaya	Anagennisi Karditsa	Loan	Summer	—
GRE ROM	Barboudis	Apollon Kalamaria	Loan	Summer	—
GRE	Dellas	Anorthosis Famagusta	Released	Summer	Free
GRE	Papastathopoulos	Genoa	Transfer	Summer	€3.8M + 15% of the profit from next sale
ARG	Arruabarrena	Tigre	Released	Summer	Free
BRA	Rivaldo	Bunyodkor	Transfer	Summer	€1M
GRE ALB	Kone	Iraklis Thessaloniki	Transfer	Summer	Free
BRA	Edson Ratinho	Mogi Mirim	Transfer	Winter	€350K
GRE	Basinas	Portsmouth	Released	Winter	Free
GRE	Zorbas	Panetolikos	Loan	Winter	—
CYP	Tofas	Anorthosis Famagusta	Loan	Winter	—
