Pick #	Player	Position	Nationality	NHL team	College/junior/club team
203	Garth Hildebrand	Left Wing	Canada	Pittsburgh Penguins	Calgary Wranglers (WHL)
204	Allan Acton	Left Wing	Canada	Hartford Whalers	Saskatoon Blazers (WHL)
205	Alan Stewart	Left Wing	Canada	New Jersey Devils	Prince Albert Raiders (WHL)
206	Jeff Frank	Right Wing	Canada / United States	Detroit Red Wings	Regina Pats (WHL)
207	Jan Blaha	Right Wing	Czechoslovakia	Los Angeles Kings	Ceske Budejovice (Czechoslovakia)
208	Mike Tomlak	Centre	Canada	Toronto Maple Leafs	Cornwall Royals (OHL)
209	Eric Cormier	Left Wing	Canada	Winnipeg Jets	St. George's School (Canadian HS-QC)
210	Steve Kayser	Defence	Canada	Vancouver Canucks	University of Vermont (ECAC)
211	Jaroslav Benak	Defence	Czechoslovakia	Calgary Flames	Jihlava (Czechoslovakia)
212	Oldrich Valek	Right Wing	Czechoslovakia	Minnesota North Stars	Jihlava (Czechoslovakia)
213	Bryan Walker	Defence	Canada	New York Rangers	Portland Winter Halks (WHL)
214	Uwe Krupp	Defence	West Germany	Buffalo Sabres	Cologne (West Germany)
215	Alain Raymond	Goaltender	Canada	Washington Capitals	Trois-Rivieres Draveurs (QMJHL)
216	Anders Huss	Centre	Sweden	Washington Capitals	Gavle (Sweden)
217	John Bjorkman	Centre	United States	New York Islanders	Warroad High School (USHS-MN)
218	Jeff Perpich	Defence	United States	Montreal Canadiens	Hibbing High School (USHS-MN)
219	Steve Pepin	Centre	Canada	Chicago Black Hawks	St. Jean Castors (QMJHL)
220	John Miner	Defence	Canada	Edmonton Oilers	Regina Pats (WHL)
221	Brian Jopling	Goaltender	United States	Philadelphia Flyers	Rennssaeler Polytechnic Institute
222	Norm Foster	Goaltender	Canada	Boston Bruins	Penticton Knights (BCJHL)
