Week	Date	Opponent	Time (ET)	Result	Game Site	Record	Match Report
1	September 4, 2008	at New York Giants	7:00	L 7-16	Giants Stadium	0-1	Recap
2	September 14, 2008	New Orleans Saints	1:00	W 29-24	FedEx Field	1-1	Recap
3	September 21, 2008	Arizona Cardinals	1:00	W 24-17	FedEx Field	2-1	Recap
4	September 28, 2008	at Dallas Cowboys	4:15	W 26-24	Texas Stadium	3-1	Recap
5	October 5, 2008	at Philadelphia Eagles	1:00	W 23-17	Lincoln Financial Field	4-1	Recap
6	October 12, 2008	St. Louis Rams	1:00	L 17-19	FedEx Field	4-2	Recap
7	October 19, 2008	Cleveland Browns	4:15	W 14-11	FedEx Field	5-2	Recap
8	October 26, 2008	at Detroit Lions	1:00	W 25-17	Ford Field	6-2	Recap
9	November 3, 2008	Pittsburgh Steelers	8:30	L 6-23	FedEx Field	6-3	Recap
10	Bye	Bye	Bye	Bye	Bye	Bye	Bye
11	November 16, 2008	Dallas Cowboys	8:15	L 10-14	FedEx Field	6-4	Recap
12	November 23, 2008	at Seattle Seahawks	4:15	W 20-17	Qwest Field	7-4	Recap
13	November 30, 2008	New York Giants	1:00	L 7-23	FedEx Field	7-5	Recap
14	December 7, 2008	at Baltimore Ravens	8:15	L 10-24	M&T Bank Stadium	7-6	Recap
15	December 14, 2008	at Cincinnati Bengals	1:00	L 13-20	Paul Brown Stadium	7-7	Recap
16	December 21, 2008	Philadelphia Eagles	4:15	W 10-3	FedEx Field	8-7	Recap
17	December 28, 2008	at San Francisco 49ers	4:15	L 24-27	Candlestick Park	8-8	Recap
