Place	Player	Country	Score	To par	Money ($)
T1	Lew Worsham	United States	70-70-71-71=282	–2	Playoff
T1	Sam Snead	United States	72-70-70-70=282	–2	Playoff
T3	Bobby Locke	South Africa	68-74-70-73=285	+1	900
T3	Ed Oliver	United States	73-70-71-71=285	+1	900
5	Bud Ward (a)	United States	69-72-73-73=287	+3	0
T6	Jim Ferrier	Australia United States	71-70-74-74=289	+5	400
T6	Vic Ghezzi	United States	74-73-73-69=289	+5	400
T6	Leland Gibson	United States	69-76-73-71=289	+5	400
T6	Ben Hogan	United States	70-75-70-74=289	+5	400
T6	Johnny Palmer	United States	72-70-75-72=289	+5	400
T6	Paul Runyan	United States	71-74-72-72=289	+5	400
