Player	Position	Date of Birth (Age)	Caps	Club/province
Blake Burdette	Hooker	19 January 1980	5	NYAC
Owen Lentz	Hooker	24 January 1980	3	Maryland Exiles
Mike MacDonald	Prop	27 November 1980	43	Leeds
Matekitonga Moeakiola	Prop	16 May 1978	0	Park City Haggis
Chris Osentowski	Prop	26 February 1975	14	Belmont Shore
Jonathan Vitale	Prop	3 November 1981	3	Chicago Lions
Luke Gross	Lock	21 November 1969	62	Doncaster Knights
Mike Mangan	Lock	3 November 1975	14	Denver Barbarians
Hayden Mexted	Lock	10 March 1979	6	St. Louis
Alec Parker	Lock	10 April 1974	46	Gentlemen of Aspen
John van der Giessen	Lock	6 May 1982	0	Denver Barbarians
Mark Aylor	Flanker	1 November 1978	8	Denver Barbarians
Inaki Basauri	Flanker	1 October 1984	1	Marmande
Todd Clever	Flanker	16 January 1983	16	OMBAC
Louis Stanfill	Flanker	30 May 1985	5	UC Berkeley
Henry Bloomfield	Number 8	4 January 1973	0	Belmont Shore
Fifita Mounga	Number 8	1 March 1973	17	San Francisco
Dan Payne	Number 8	12 September 1972	1	OMBAC
Chad Erskine	Scrum-half	8 January 1980	3	Waterloo
Mike Petri	Scrum-half	16 August 1984	0	Belmont Shore
Mike Hercus ( c )	Fly-half	5 June 1979	31	Belmont Shore
Valenese Malifa	Fly-half	10 September 1985	3	Belmont Shore
Philip Eloff	Centre	17 September 1978	32	Chicago Lions
Paul Emerick	Centre	24 January 1980	24	Newport Gwent Dragons
Vahafolau Esikia	Centre	28 November 1979	7	San Mateo
Albert Tuipulotu	Centre	27 February 1979	16	San Mateo
Takudzwa Ngwenya	Wing	22 July 1985	0	Biarritz
Thretton Palamo	Wing	22 September 1988	0	San Francisco
Salesi Sika	Wing	6 July 1980	13	Béziers
Francois Viljoen	Fullback	16 May 1981	18	Belmont Shore
Chris Wyles	Fullback	12 February 1983	3	Belmont Shore
