Season	Competition	Round	Opponent	Home	Away	Agg.
1995–96	UEFA Cup	QR	Slovan Bratislava	0–2	0–4	0–6
1998–99	UEFA Cup	QR2	Anderlecht	3–1	0–2	3–3 ( a )
1999–00	UEFA Cup	R1	West Ham	1–3	0–3	1–6
2000–01	UEFA Cup	R1	Brøndby	0–0	2–1	2–1
2000–01	UEFA Cup	R2	Rapid Wien	2–1	2–0	4–1
2000–01	UEFA Cup	R3	Slavia Prague	2–0	1–5	3–5
2001–02	UEFA Cup	QR	Dinaburg	1–0	1–2	2–2 ( a )
2001–02	UEFA Cup	R1	ND Gorica	1–0	2–1	3–1
2001–02	UEFA Cup	R2	AEK Athens	1–2	2–3	3–5
2006	UEFA Intertoto Cup	R2	Ethnikos Achna	2–2	0–0	2–2 ( a )
2012–13	UEFA Europa League	QR1	FC Santa Coloma	3–1	1–0	4–1
2012–13	UEFA Europa League	QR2	Kalmar FF	1–3	0–3	1–6
