Call sign	Frequency MHz	City of license	ERP W	Class	FCC info
W266AH	101.1	Athens, Georgia	10	D	FCC
W242BN	96.3	Commerce, Georgia	38	D	FCC
W299AT	107.7	Cornelia, Georgia	10	D	FCC
W262AL	100.3	Gainesville, Georgia	13	D	FCC
W220CK	91.9	Toccoa, Georgia	10	D	FCC
W238BO	95.5	Black Mountain, North Carolina	10	D	FCC
W215AZ	90.9	Boone, North Carolina	10	D	FCC
W279AI	103.7	Hendersonville, North Carolina	10	D	FCC
W224BN	92.7	Hickory, North Carolina	38	D	FCC
W243BX	96.5	Valdese, North Carolina	2	D	FCC
W231AR	94.1	Weaverville, North Carolina	10	D	FCC
