Outcome	Date	Surface	Partner	Opponents	Score
Runner-up	14 April 2008	Clay	Edina Gallovits	Katarina Srebotnik Ai Sugiyama	2–6, 2–6
Winner	19 May 2008	Clay	Jill Craybas	Marina Erakovic Polona Hercog	6–1, 6–2
Winner	20 September 2009	Hard	Tatiana Poutchek	Kimiko Date-Krumm Sun Tiantian	3–6, 6–2, [10–8]
Winner	26 September 2009	Hard	Tatiana Poutchek	Vitalia Diatchenko Ekaterina Dzehalevich	6–2, 6–7 (1-7) , [10–8]
Winner	9 October 2010	Hard	Chuang Chia-jung	Gisela Dulko Flavia Pennetta	7–6 (7-2) , 1–6, [10–7]
Winner	19 February 2011	Hard (i)	Alla Kudryavtseva	Andrea Hlaváčková Lucie Hradecká	6–3, 4–6, [10–8]
Winner	12 June 2011	Grass	Alla Kudryavtseva	Sara Errani Roberta Vinci	1–6, 6–1, [10–5]
Runner-up	31 July 2011	Hard	Alla Kudryavtseva	Sania Mirza Yaroslava Shvedova	3–6, 3–6
Winner	27 August 2011	Hard	Chuang Chia-jung	Sara Errani Roberta Vinci	7–5, 6–2
Runner-up	25 February 2012	Hard (i)	Vera Dushevina	Andrea Hlaváčková Lucie Hradecká	3–6, 4–6
Winner	26 May 2012	Clay	Klaudia Jans-Ignacik	Natalie Grandin Vladimíra Uhlířová	6–7 (4–7) , 6–3, [10–3]
Runner-up	14 September 2013	Hard	Mandy Minella	Timea Babos Yaroslava Shvedova	3-6, 3-6
