Player	Team	Date	Opposition	Game	Début
Colin Lynch	Clare	July 27	Cork	All-Ireland quarter-final	1997
Frank Lohan	Clare	July 27	Cork	All-Ireland quarter-final	1995
Joe Deane	Cork	August 10	Kilkenny	All-Ireland semi-final	1996
Brian Murphy	Cork	August 10	Kilkenny	All-Ireland semi-final	2004
Diarmuid O'Sullivan	Cork	August 10	Kilkenny	All-Ireland semi-final	1997
Éamonn Corcoran	Tipperary	August 17	Waterford	All-Ireland semi-final	1999
Dave Bennett	Waterford	September 7	Kilkenny	All-Ireland final	1997
Tom Feeney	Waterford	September 7	Kilkenny	All-Ireland final	1995
Paul Flynn	Waterford	September 7	Kilkenny	All-Ireland final	1993
James McGarry	Kilkenny	September 7	Waterford	All-Ireland final	1999
