Day	Stage	Time (GMT)	Name	Length	Winner	Time	Avg. spd.	Rally leader
1 (30 JAN)	SS1	08:13	Glenboy 1	22.25km	Jari-Matti Latvala	12:44.0	104.8km/h	Jari-Matti Latvala
1 (30 JAN)	SS2	09:01	Cavan 1	15.09km	Sébastien Loeb	8:31.5	106.2km/h	Urmo Aava
1 (30 JAN)	SS3	09:42	Aughnasheelan 1	25.19km	Sébastien Loeb	14:35.2	103.6km/h	Urmo Aava
1 (30 JAN)	SS4	13:02	Glenboy 2	22.25km	Sébastien Loeb	11:37.4	114.9km/h	Sébastien Loeb
1 (30 JAN)	SS5	13:50	Cavan 2	15.09km	Sébastien Loeb	7:40.5	118.0km/h	Sébastien Loeb
1 (30 JAN)	SS6	14:31	Aughnasheelan 2	25.19km	Sébastien Loeb	13:44.6	110.0km/h	Sébastien Loeb
1 (30 JAN)	SS7	18:54	Murley	24.70km	Stage cancelled	Stage cancelled	Stage cancelled	Sébastien Loeb
1 (30 JAN)	SS8	19:39	Fardross	14.77km	Stage cancelled	Stage cancelled	Stage cancelled	Sébastien Loeb
2 (31 JAN)	SS9	08:13	Sloughan Glen 1	27.76km	Sébastien Loeb	14:43.3	113.1km/h	Sébastien Loeb
2 (31 JAN)	SS10	09:06	Ballinamallard 1	25.46km	Sébastien Loeb	13:02.1	117.2km/h	Sébastien Loeb
2 (31 JAN)	SS11	09:49	Tempo 1	13.46km	Sébastien Loeb	7:33.1	106.9km/h	Sébastien Loeb
2 (31 JAN)	SS12	13:57	Sloughan Glen 2	27.76km	Mikko Hirvonen	14:33.9	114.4km/h	Sébastien Loeb
2 (31 JAN)	SS13	14:50	Ballinamallard 2	25.46km	Sébastien Loeb	12:51.4	118.8km/h	Sébastien Loeb
2 (31 JAN)	SS14	15:33	Tempo 2	13.46km	Sébastien Loeb	7:30.1	107.7km/h	Sébastien Loeb
3 (1 FEB)	SS15	08:35	Geevagh	11.48km	Mikko Hirvonen	6:11.3	111.3km/h	Sébastien Loeb
3 (1 FEB)	SS16	09:00	Arigna	10.88km	Sébastien Loeb	6:03.6	107.7km/h	Sébastien Loeb
3 (1 FEB)	SS17	09:51	Lough Gill	13.51km	Mikko Hirvonen	6:27.0	125.7km/h	Sébastien Loeb
3 (1 FEB)	SS18	12:09	Donegal Bay	14.47km	Mikko Hirvonen	8:09.7	106.4km/h	Sébastien Loeb
