Rank	Rider	Mon 26 May	Tues 27 May	Wed 28 May	Thurs 29 May	Fri 30 May
1	John McGuinness 1000cc Honda	17' 58.34 125.960mph	– No Time	Cancelled No Time	17' 52.08 126.696mph	17' 36.11 128.611mph
2	Cameron Donald 1000cc Suzuki	17' 59.53 125.882mph	– No Time	Cancelled No Time	17' 57.37 126.074mph	17' 37.45 128.448mph
3	Bruce Anstey 1000cc Suzuki	17' 59.97 125.771mph	– No Time	Cancelled No Time	17' 53.97 126.472mph	17' 46.65 127.820mph
4	Guy Martin 1000cc Honda	17' 57.83 126.020mph	– No Time	Cancelled No Time	17' 48.84 127.080mph	17' 43.07 127.770mph
5	Ian Hutchinson 1000cc Yamaha	– No Time	– No Time	Cancelled No Time	17' 55.45 126.299mph	17' 49.86 126.959mph
6	Ryan Farquhar 1000cc Kawasaki	18' 03.62 125.346mph	– No Time	Cancelled No Time	17' 52.41 126.657mph	18' 30.87 122.272mph
7	Adrian Archibald 1000cc Suzuki	17' 59.14 125.867mph	– No Time	Cancelled No Time	18' 05.78 125.097mph	17' 15.11 126.339mph
8	Gary Johnson 1000cc Honda	18' 23.88 123.046mph	– No Time	Cancelled No Time	18' 10.13 124.598mph	18' 01.35 125.610mph
9	Conor Cummins 1000cc Suzuki	18' 58.95 119.257mph	– No Time	Cancelled No Time	18' 15.53 123.984mph	18' 02.83 125.438mph
10	Daniel Stewart 1000cc Honda	18' 20.86 123.383mph	– No Time	Cancelled No Time	18' 13.58 121.974mph	18' 08.48 124.795mph
11	Keith Amor 1000cc Honda	18' 23.61 123.076mph	– No Time	Cancelled No Time	18' 44.74 120.671mph	18' 11.96 124.389mph
12	Les Shand 1000cc Yamaha	18' 39.11 121.371mph	– No Time	Cancelled No Time	18' 44.93 120.744mph	18' 13.20 124.248mph
13	Ian Lougher 1000cc Yamaha	18' 23.76 123.059mph	– No Time	Cancelled No Time	18' 13.47 124.218mph	18' 15.32 124.007mph
14	Carl Rennie 1000cc Honda	18' 29.62 122.410mph	– No Time	Cancelled No Time	17' 23.68 123.069mph	– No Time
15	Mark Parrett 1000cc Yamaha	– No Time	– No Time	Cancelled No Time	18' 48.57 120.354mph	18' 28.27 122.599mph
16	James McBride 1000cc Yamaha	18' 30.16 122.349mph	– No Time	Cancelled No Time	– No Time	– No Time
17	Gary Carswell 1000cc Suzuki	18' 58.45 119.309mph	– No Time	Cancelled No Time	19' 01.89 118.950mph	18' 35.00 121.819mph
18	Paul Owen 1000cc Kawasaki	18' 52.63 119.992mph	– No Time	Cancelled No Time	18' 58.17 119.339mph	18' 39.73 121.304mph
19	John Burrows 1000cc Honda	19' 02.890 118.847mph	– No Time	Cancelled No Time	18' 55.69 119.600mph	18' 43.93 120.851mph
