Rank	Country/Region	Expenditures on R&D (billions of US$ , PPP )	% of GDP PPP	Year
1	United States	405.3	2.7%	2011
2	China	296.8	1.97%	2012
3	Japan	160.3	3.67%	2011
4	Germany	69.5	2.3%	2011
5	South Korea	55.8	3.74%	2011
6	France	42.2	1.9%	2011
7	United Kingdom	38.4	1.7%	2011
8	India	36.1	0.9%	2011
9	Canada	24.3	1.8%	2011
10	Russia	23.8	1.0%	2011
11	Brazil	19.4	0.9%	2011
12	Italy	19.0	1.1%	2011
13	Taiwan	19.0	2.3%	2011
14	Spain	17.2	1.3%	2011
15	Australia	15.9	1.7%	2011
16	Sweden	11.9	3.3%	2011
17	Netherlands	10.8	1.6%	2011
18	Israel	9.4	4.2%	2011
19	Austria	8.3	2.5%	2011
20	Switzerland	7.5	2.3%	2011
21	Belgium	6.9	1.7%	2011
22	Turkey	6.9	0.7%	2011
23	Poland	6.9	0.9%	2011
24	Mexico	6.4	0.4%	2011
25	Finland	6.3	3.1%	2011
26	Singapore	6.3	2.2%	2011
27	Denmark	5.1	2.4%	2011
28	Norway	4.2	1.6%	2011
29	Czech Republic	3.8	1.4%	2011
30	South Africa	3.7	0.7%	2011
31	Iran	3.5	0.42%	2012
32	Portugal	2.8	1.2%	2011
33	Ukraine	2.75	0.85%	2007
34	Pakistan	2.73	0.67%	2007
35	Argentina	2.7	0.4%	2011
36	Ireland	2.6	1.4%	2011
37	Malaysia	2.6	0.63%	2010
38	Saudi Arabia	1.8	0.25%	2012
39	Greece	1.7	0.6%	2011
40	Hungary	1.7	0.9%	2011
41	Thailand	1.46	0.25%	2010
42	New Zealand	1.4	1.2%	2011
43	Romania	1.3	0.5%	2011
44	Chile	1.22	0.53%	2007
45	Belarus	1.02	0.96%	2007
46	Egypt	0.91	0.23%	2007
47	Slovenia	0.8	1.4%	2011
48	Morocco	0.76	0.6%	2007
49	Indonesia	0.72	0.07%	2010
50	Croatia	0.7	0.81%	2007
51	Luxembourg	0.67	1.62%	2007
52	Tunisia	0.66	0.86%	2007
53	Colombia	0.6	0.16%	2007
54	Vietnam	0.52	0.19%	2010
55	Slovakia	0.5	0.4%	2011
56	Lithuania	0.47	0.82%	2007
57	Bulgaria	0.44	0.48%	2007
58	Kazakhstan	0.38	0.21%	2007
59	Estonia	0.36	1.11%	2007
60	Iceland	0.3	2.3%	2011
61	Philippines	0.29	0.09%	2007
62	Uruguay	0.272	0.42%	2007
63	Serbia	0.25	0.35%	2007
64	Peru	0.24	0.1%	2007
65	Latvia	0.23	0.59%	2007
66	Sudan	0.18	0.23%	2007
67	Algeria	0.16	0.07%	2007
68	Costa Rica	0.15	0.32%	2007
69	Uganda	0.13	0.39%	2007
70	Azerbaijan	0.11	0.17%	2007
71	Botswana	0.11	0.42%	2007
72	Ethiopia	0.1	0.17%	2007
