Round	Pick	Overall	Name	Position	College
1	13	13	Ray McDonald	RB	Idaho
2	12	38	Spain Musgrove	DE	Utah State
3	11	64	Curg Belcher	DB	Brigham Young
6	2	135	Don Bandy	G	Tulsa
7	9	168	Bruce Matte	QB	Miami (Ohio)
7	13	172	John Love	WR	North Texas State [c ]
8	5	190	Larry Hendershot	LB	Arizona State
9	11	222	Pete Larson	RB	Cornell
10	10	247	Tim Houlton	DT	St. Norbert
10	13	250	Bruce Sullivan	DB	Illinois
11	12	275	Bill Brown	C	Texas-El Paso
12	12	300	Ron Sepic	E	Ohio State
13	13	328	Bob Rodwell	LB	Eastern Michigan
14	12	353	Andy Socha	HB	Marshall
15	11	378	Ed Breding	LB	Texas A&M
16	13	406	Alfredo Avila	DB	Sul Ross
17	12	431	Lyle Baucom	OT	San Francisco State
