Rank	Heat & Lane	Name	Nationality	Time
1	H14-L5	Kosuke Kitajima	Japan	00: 59.96
2	H15-L5	Alexander Dale Oen	Norway	1:00.34
3	H16-L4	Brendan Hansen	USA	1:00.59
4	H09-L4	Giedrius Titenis	Lithuania	1:00.92
5	H14-L4	Oleg Lisogor	Ukraine	1:00.99
6	H14-L3	James Gibson	Great Britain	1:01.03
7	H14-L3	Valeriy Dymo	Ukraine	1:01.06
7	H15-L4	Brenton Rickard	Australia	1:01.06
9	H16-L3	Hugues Duboscq	France	1:01.08
10	H12-L2	Cameron van der Burgh	South Africa	1:01.12
11	H11-L4	Mihail Alexandrov	Bulgaria	1:01.15
12	H16-L2	Scott Usher	USA	1:01.36
13	H16-L6	Chris Cook	Great Britain	1:01.49
14	H15-L7	Alessandro Terrin	Italy	1:01.61
15	H14-L2	Dmitry Komornikov	Russia	1:01.66
16	H16-L5	Roman Sloudnov	Russia	1:01.69
16	H15-L8	Robin van Aggele	Netherlands	1:01.69
18	H16-L1	Mike Brown	Canada	1:01.75
19	H12-L4	Glenn Snyders	New Zealand	1:01.91
20	H11-L3	Jiri Jedlicka	Czech Republic	1:01.92
21	H16-L7	Edoardo Giorgetti	Italy	1:01.95
22	H15-L6	Makoto Yamashita	Japan	1:02.08
23	H14-L8	Henrique Barbosa	Brazil	1:02.13
24	H13-L1	LAI Zhongjian	China	1:02.18
25	H15-L1	Valentin Preda	Romania	1:02.19
26	H15-L2	Richárd Bodor	Hungary	1:02.28
27	H13-L2	Jim Piper	Australia	1:02.36
28	H14-L1	Johannes Neumann	Germany	1:02.50
29	H13-L8	Sławomir Wolniak	Poland	1:02.50
30	H14-L7	Felipe Lima	Brazil	1:02.58
31	H12-L5	Maxim Podoprigora	Austria	1:02.71
31	H12-L8	Thabang Moeketsane	South Africa	1:02.71
33	H11-L5	Mladen Tepavčević	Serbia	1:02.80
33	H13-L4	Sławomir Kuczko	Poland	1:02.80
35	H12-L1	Chris Boe Christensen	Denmark	1:02.83
36	H16-L8	Emil Tahirovič	Slovenia	1:02.85
37	H13-L6	Jakob Jóhann Sveinsson	Iceland	1:02.91
38	H11-L6	Edvinas Dautartas	Lithuania	1:03.07
39	H10-L6	Sofiane Daid	Algeria	1:03.09
40	H12-L6	Dániel Gyurta	Hungary	1:03.33
41	H13-L5	WANG Haibo	China	1:03.38
42	H12-L7	Malick Fall	Senegal	1:03.42
43	H10-L7	Tomas Fucik	Czech Republic	1:03.44
44	H15-L3	Romanos Iasonas Alyfantis	Greece	1:03.51
45	H11-L2	Mikalai Vasilyeu	Belarus	1:03.62
46	H12-L3	Yevgeniy Ryzhkov	Kazakhstan	1:03.70
47	H10-L2	Tom Be'eri	Israel	1:03.72
47	H10-L1	Michael Malul	Israel	1:03.72
49	H11-L8	Alwin de Prins	Luxembourg	1:04.00
50	H11-L7	Martti Aljand	Estonia	1:04.13
51	H13-L7	Matjaž Markič	Slovenia	1:04.20
52	H09-L3	Sujong Sin	South Korea	1:04.31
53	H10-L3	Hsin Hung Chiang	Chinese Taipei	1:04.49
54	H09-L6	Dean Kent	New Zealand	1:04.51
55	H10-L4	Nikola Delic	Croatia	1:04.58
56	H9-L5	Andrei Capitanciuc	Moldova	1:04.76
57	H10-L8	Dimitri Waeber	Switzerland	1:04.80
58	H07-L6	Wael Kobrosly	Lebanon	1:04.83
59	H08-L1	Vidvuds Maculevics	Latvia	1:05.36
60	H11-L1	Wei Wen Wang	Chinese Taipei	1:05.38
61	H09-L7	Sergiu Postica	Moldova	1:05.45
62	H09-L2	Mohammad Alirezaei	Iran	1:05.64
63	H07-L3	Radomyos Matjiur	Thailand	1:05.70
64	H08-L2	Diego Bonilla	Colombia	1:05.75
65	H09-L8	Herry Yudhianto	Indonesia	1:05.81
66	H09-L1	Andrei Cross	Barbados	1:05.91
67	H08-L4	Edgar Robert Crespo	Panama	1:06.00
68	H07-L4	Rainui Terupaia	Tahiti	1:06.10
69	H08-L5	Jin Leonard Tan	Singapore	1:06.14
70	H08-L6	Andrey Morkovin	Uzbekistan	1:06.46
70	H08-L7	Billy Arfianto	Indonesia	1:06.46
72	H10-L5	Kirils Sanzarovecs	Latvia	1:06.65
73	H07-L1	Kevin Hensley	Virgin Islands	1:06.86
74	H06-L7	Josh Laban	Virgin Islands	1:07.28
75	H08-L3	Gerard Bordado	Philippines	1:07.37
76	H08-L8	Kee Guan Benjamin Ng	Singapore	1:07.92
77	H06-L5	Milan Glamocic	Bosnia and Herzegovina	1:07.99
78	H07-L7	Yusuf Alyousuf	Saudi Arabia	1:08.22
79	H07-L2	Mustafa Al-Saleh	Syria	1:08.34
80	H07-L8	See Tuan Yap	Malaysia	1:08.39
81	H06-L8	Eric Williams	Nigeria	1:08.77
82	H07-L5	Genaro Mathias Prono Britez	Paraguay	1:08.89
83	H06-L6	Erik Rajohnson	Madagascar	1:09.01
84	H06-L4	Antonio Leon Candia	Paraguay	1:09.32
85	H05-L4	Amar Shah	Kenya	1:09.67
86	H04-L5	Celestino Aguon	Guam	1:10.46
87	H06-L2	Chisela Kanchela	Zambia	1:10.64
88	H05-L3	Melvin Chua	Malaysia	1:10.65
89	H04-L4	Hei Ming Lao	Macau	1:10.84
