Rank	Nation	Gold	Silver	Bronze	Total
1	South Korea	11	1	1	13
2	Spain	3	1	2	6
3	Chinese Taipei	1	1	2	4
4	France	1	0	1	2
5	Turkey	0	2	3	5
6	Mexico	0	2	2	4
7	Canada	0	2	1	3
7	Greece	0	2	1	3
9	Brazil	0	2	0	2
10	Venezuela	0	1	1	2
11	Denmark	0	1	0	1
11	Indonesia	0	1	0	1
13	United States	0	0	4	4
14	Egypt	0	0	2	2
14	Germany	0	0	2	2
16	Argentina	0	0	1	1
16	Colombia	0	0	1	1
16	Cyprus	0	0	1	1
16	Finland	0	0	1	1
16	Malaysia	0	0	1	1
16	Netherlands	0	0	1	1
16	Nigeria	0	0	1	1
16	Philippines	0	0	1	1
16	Puerto Rico	0	0	1	1
16	Sweden	0	0	1	1
Total	Total	16	16	32	64
