Tournament	Surface	Week	Winner	Finalist	Semifinalists
Indian Wells	Hard	March 10	Lleyton Hewitt (1) 6–1, 6–1	Gustavo Kuerten	Vincent Spadea (Q) Rainer Schüttler (15)
Miami	Hard	March 17	Andre Agassi (2) 6–3, 6–3	Carlos Moyá (5)	Paradorn Srichaphan (13) Albert Costa (9)
Monte Carlo	Clay	April 14	Juan Carlos Ferrero (1) 6–2, 6–2	Guillermo Coria	Vincent Spadea Carlos Moyá (2)
Rome	Clay	May 5	Felix Mantilla 7–5, 6–2, 7–6(8)	Roger Federer (4)	Yevgeny Kafelnikov Juan Carlos Ferrero (2)
Hamburg	Clay	May 12	Guillermo Coria (12) * 6–3, 6–4, 6–4	Agustín Calleri	David Nalbandian (8) Gastón Gaudio
Canada (Montréal)	Hard	August 4	Andy Roddick (6) 6–1, 6–3	David Nalbandian	Rainer Schüttler (8) Roger Federer (3)
Cincinnati	Hard	August 11	Andy Roddick (7) 4–6, 7–6(3), 7–6(4)	Mardy Fish	Max Mirnyi Rainer Schüttler (8)
Madrid	Hard (i)	October 13	Juan Carlos Ferrero (1) 6–3, 6–4, 6–3	Nicolas Massú	Roger Federer (3) Younes El Aynaoui (15)
Paris	Carpet (i)	October 27	Tim Henman 6–2, 7–6(6), 7–6(2)	Andrei Pavel	Jiří Novák (14) Andy Roddick (2)
Houston ( TMC )	Hard	November 8	Roger Federer 6–3, 6–0, 6–4	Andre Agassi	Rainer Schüttler Andy Roddick
