Date	H/A/N	Opponent	Score	Record
November 1	H	Atlanta Hawks	107-130	0-10
November 2	A	Philadelphia 76ers	87-141	0-11
November 4	H	Milwaukee Bucks	108-110	0-12
November 7	A	Buffalo Braves	91-103	0-13
November 8	H	Seattle SuperSonics	105-111	0-14
November 10	A	San Francisco Warriors	74-109	0-15
November 12	A	Portland Trail Blazers	105-103	1-15
November 13	A	Seattle SuperSonics	91-111	1-16
November 14	A	Portland Trail Blazers	110-125	1-17
November 16	A	Baltimore Bullets	86-98	1-18
November 18	H	Baltimore Bullets	98-111	1-19
November 20	A	Boston Celtics	112-116	1-20
November 21	A	New York Knicks	94-102	1-21
November 22	H	Phoenix Suns	99-114	1-22
November 25	H	San Francisco Warriors	99-108	1-23
November 27	H	Portland Trail Blazers	102-111	1-24
November 28	A	Cincinnati Royals	86-105	1-25
November 29	H	Detroit Pistons	99-120	1-26
