Date	Opponent	Score	Loss	Attendance	Record
May 1	Angels	2–0	Cone (1–1)	31,303	3–3
May 2	White Sox	9–8	Marquez (0–1)	34,194	4–3
May 3	White Sox	8 – 7 (10)	Hernández (0–1)	33,159	5–3
May 5	@ Orioles	9–2	Leiter (1–1)	37,670	5–4
May 6	@ Orioles	7–3	Rhodes (1–1)	40,173	6–4
May 7	@ Orioles	6–2	Cone (1–2)	44,304	6–5
May 9	Yankees	9–6	McDowell (1–1)	37,291	7–5
May 10	Yankees	6 – 4 (11)	Williams (0–1)	38,232	7–6
May 11	Yankees	12–11	Ward (0–1)	39,370	7–7
May 12	@ Brewers	14–5	Darwin (1–1)	12,904	7–8
May 13	@ Brewers	10–0	Miranda (1–1)	17,984	8–8
May 14	@ Brewers	8–3	Eldred (1–1)	13,447	9–8
May 15	@ Rangers	12–4	Guzman (0–1)	17,982	9–9
May 16	@ Rangers	6–1	Leiter (1–2)	19,014	9–10
May 17	@ Rangers	12–7	Darwin (1–2)	18,910	9–11
May 19	@ Tigers	4–2	Moore (3–2)	18,558	10–11
May 20	@ Tigers	10–6	Hentgen (3–1)	18,888	10–12
May 21	@ Tigers	2–1	Cox (0–1)	19,144	10–13
May 22	Royals	7–0	Darwin (1–3)	39,255	10–14
May 23	Royals	10–6	Pichardo (0–1)	35,049	11–14
May 24	Royals	8–5	Cone (3–3)	37,277	11–15
May 26	Indians	7–4	Hentgen (3–2)	47,113	11–16
May 27	Indians	3–0	Plunk (2–1)	47,143	12–16
May 28	Indians	5–4	Darwin (1–4)	42,365	12–17
May 29	Tigers	5–4	Moore (4–3)	39,294	13–17
May 30	Tigers	8–6	Cox (0–2)	39,711	13–18
May 31	Tigers	5–3	Doherty (2–3)	41,232	14–18
