Member	Party	Electorate	State	First elected
John Abel	Liberal	Evans	NSW	1975
Evan Adermann	National	Fisher	Qld	1972
Ken Aldred	Liberal	Henty	Vic	1975
Rt Hon Doug Anthony	National	Richmond	NSW	1957
John Armitage	ALP	Chifley	NSW	1961–1963, 1969
Marshall Baillieu	Liberal	La Trobe	Vic	1975
Michael Baume	Liberal	Macarthur	NSW	1975
Hon Kim Beazley	ALP	Fremantle	WA	1945
Jack Birney	Liberal	Phillip	NSW	1975
Robert Bonnett	Liberal	Herbert	Qld	1966
John Bourchier	Liberal	Bendigo	Vic	1972
Hon Lionel Bowen	ALP	Kingsford-Smith	NSW	1969
Jim Bradfield	Liberal	Barton	NSW	1975
Ray Braithwaite	National	Dawson	Qld	1975
Neil Brown	Liberal	Diamond Valley	Vic	1969–1972, 1975
Hon Gordon Bryant	ALP	Wills	Vic	1955
Melville Bungey	Liberal	Canning	WA	1974
Max Burr	Liberal	Wilmot	Tas	1975
Alan Cadman	Liberal	Mitchell	NSW	1974
Hon Dr Jim Cairns	ALP	Lalor	Vic	1955
Hon Kevin Cairns	Liberal	Lilley	Qld	1963–1972, 1974
Sam Calder	CLP	Northern Territory	NT	1966
Hon Clyde Cameron	ALP	Hindmarsh	SA	1949
Donald Milner Cameron	Liberal	Griffith	Qld	1966
Colin Carige	National	Capricornia	Qld	1975
Hon Dr Moss Cass	ALP	Maribyrnong	Vic	1969
Grant Chapman	Liberal	Kingston	SA	1975
Hon Don Chipp	Liberal	Hotham	Vic	1960
Barry Cohen	ALP	Robertson	NSW	1969
David Connolly	Liberal	Bradfield	NSW	1974
Hon Rex Connor 1	ALP	Cunningham	NSW	1963
James Corbett	National	Maranoa	Qld	1966
Mick Cotter	Liberal	Kalgoorlie	WA	1975
Hon Frank Crean	ALP	Melbourne Ports	Vic	1951
Hon Don Dobie	Liberal	Cook	NSW	1966–1972, 1975
Peter Drummond	Liberal	Forrest	WA	1972
Dr Harry Edwards	Liberal	Berowra	NSW	1972
Robert Ellicott	Liberal	Wentworth	NSW	1974
Peter Falconer	Liberal	Casey	Vic	1975
Hon Wallace Fife	Liberal	Farrer	NSW	1975
Peter Fisher	National	Mallee	Vic	1972
John FitzPatrick	ALP	Darling	NSW	1969
Hon Malcolm Fraser	Liberal	Wannon	Vic	1955
Ken Fry	ALP	Fraser	ACT	1974
Hon Victor Garland	Liberal	Curtin	WA	1969
Horrie Garrick	ALP	Batman	Vic	1969
