Poll Source	Sample Size	Margin of Error	Date	Democrat	Republican
Quinnipiac	1697	2.4	Mar 19-24, 2008	Hillary Clinton	John McCain
Quinnipiac	1697	2.4	Mar 19-24, 2008	Barack Obama	John McCain
Rasmussen Reports	500	4.5	March 11, 2008	Barack Obama	John McCain
Rasmussen Reports	500	4.5	March 11, 2008	Hillary Clinton	John McCain
Rasmussen Reports	500	4.5	November 7, 2007	Hillary Clinton	Rudy Giuliani
Rasmussen Reports	500	4.5	November 7, 2007	Hillary Clinton	John McCain
Rasmussen Reports	500	4.5	November 7, 2007	Hillary Clinton	Mitt Romney
Rasmussen Reports	500	4.5	November 7, 2007	Hillary Clinton	Fred Thompson
Quinnipiac	1029	3.1	Nov 1-5, 2007	Hillary Clinton	Rudy Giuliani
Quinnipiac	1029	3.1	Nov 1-5, 2007	Hillary Clinton	John McCain
Quinnipiac	1029	3.1	Nov 1-5, 2007	Hillary Clinton	Mitt Romney
Quinnipiac	1029	3.1	Nov 1-5, 2007	Hillary Clinton	Fred Thompson
Quinnipiac	1029	3.1	Nov 1-5, 2007	John Edwards	Rudy Giuliani
Quinnipiac	1029	3.1	Nov 1-5, 2007	Barack Obama	Rudy Giuliani
Quinnipiac	1391	2.6	Oct 9-15, 2007	Hillary Clinton	Rudy Giuliani
Quinnipiac	1427	2.6	May 2-7, 2007	Hillary Clinton	Rudy Giuliani
Quinnipiac	1427	2.6	May 2-7, 2007	Hillary Clinton	John McCain
Quinnipiac	1427	2.6	May 2-7, 2007	Hillary Clinton	Fred Thompson
Quinnipiac	1427	2.6	May 2-7, 2007	Barack Obama	Rudy Giuliani
Quinnipiac	1427	2.6	May 2-7, 2007	Barack Obama	John McCain
Quinnipiac	1427	2.6	May 2-7, 2007	Barack Obama	Fred Thompson
Quinnipiac	1087	3	Feb 9-12, 2007	Hillary Clinton	Rudy Giuliani
Quinnipiac	1087	3	Feb 9-12, 2007	Hillary Clinton	John McCain
Quinnipiac	1087	3	Feb 9-12, 2007	Hillary Clinton	Mitt Romney
Quinnipiac	1087	3	Feb 9-12, 2007	Chris Dodd	John McCain
Quinnipiac	1087	3	Feb 9-12, 2007	John Edwards	John McCain
Quinnipiac	1087	3	Feb 9-12, 2007	Barack Obama	John McCain
