Week	Date	Opponent	Result	Record	Game Site	Attendance
1	September 15, 1963	New York Giants	L 28–37	0–1	Memorial Stadium	60029
2	September 22, 1963	at San Francisco 49ers	W 20–14	1–1	Kezar Stadium	31006
3	September 29, 1963	at Green Bay Packers	L 20–31	1–2	Lambeau Field	42327
4	October 6, 1963	at Chicago Bears	L 3–10	1–3	Wrigley Field	48998
5	October 13, 1963	San Francisco 49ers	W 20–3	2–3	Memorial Stadium	56962
6	October 20, 1963	at Detroit Lions	W 25–21	3–3	Tiger Stadium	51901
7	October 27, 1963	Green Bay Packers	L 20–34	3–4	Memorial Stadium	60065
8	November 3, 1963	Chicago Bears	L 7–17	3–5	Memorial Stadium	60065
9	November 10, 1963	Detroit Lions	W 24–21	4–5	Memorial Stadium	59758
10	November 17, 1963	at Minnesota Vikings	W 37–34	5–5	Metropolitan Stadium	33136
11	November 24, 1963	at Los Angeles Rams	L 16–17	5–6	Los Angeles Memorial Coliseum	48555
12	December 1, 1963	at Washington Redskins	W 36–20	6–6	RFK Stadium	44006
13	December 8, 1963	Minnesota Vikings	W 41–10	7–6	Memorial Stadium	54122
