Date	Opponent	Score	Loss	Record
June 2	Indians	5–3	Moore (6–4)	34–19
June 3	Indians	7–0	Candiotti (6–3)	35–19
June 4	Indians	4–0	Farrell (3–6)	36–19
June 5	Twins	2–1	C. Young (2–5)	36–20
June 6	Twins	1–0	Anderson (6–4)	37–20
June 7	Twins	3–2	Viola (4–8)	38–20
June 9	@ Rangers	11–8	Nelson (1–2)	38–21
June 10	@ Rangers	5–1	Witt (5–6)	39–21
June 11	@ Rangers	5–1	Brown (5–3)	40–21
June 12	@ Royals	2 – 1 (11)	Burns (4–1)	40–22
June 13	@ Royals	5–3	C. Young (2–6)	40–23
June 14	@ Royals	2–1	Leibrandt (4–7)	41–23
June 16	@ Orioles	7–5	Holton (2–5)	42–23
June 16	@ Orioles	5–1	Moore (8–5)	42–24
June 17	@ Orioles	4–2	M. Young (0–1)	42–25
June 18	@ Orioles	4–2	C. Young (2–7)	42–26
June 19	Tigers	6–4	Stewart (11–3)	43–26
June 20	Tigers	6–4	Havens (0–1)	44–26
June 21	Tigers	6–3	Schwabe (1–3)	45–26
June 22	Blue Jays	4 – 2 (13)	Corsi (0–1)	45–27
June 23	Blue Jays	10–8	C. Young (2–8)	45–28
June 24	Blue Jays	7–1	Stieb (7–4)	46–28
June 25	Blue Jays	6–3	Key (7–7)	47–28
June 26	@ Twins	4 – 3 (10)	Burns (4–2)	47–29
June 27	@ Twins	11–5	Nelson (2–3)	47–30
June 28	@ Twins	2–0	Stewart (12–4)	47–31
June 30	@ Indians	5–0	Swindell (10–2)	48–31
