Stadium	Capacity	City	Country	Tenant	Opening
Nou Mestalla	75,000	Valencia	Spain	Valencia CF	2014
Gazprom Arena	69,501	Saint Petersburg	Russia	FC Zenit Saint Petersburg	2015
Baku Olympic Stadium	68,000	Baku	Azerbaijan	Azerbaijan national football team	2015
Estadio La Peineta	67,500	Madrid	Spain	Club Atlético de Madrid	2015
Ferenc Puskás Stadion	65,000	Budapest	Hungary	Hungary national football team	2016
Stade des Lumières	61,556	Lyon	France	Olympique Lyonnais	2014
Northumberland Development Project	56,250	London	England	Tottenham Hotspur	2016
Fisht Olympic Stadium	47,659	Sochi	Russia	2014 Winter Olympics 2014 Winter Paralympics	2014
Arena Baltika	45,015	Kaliningrad	Russia	FC Baltika Kaliningrad	2017
Yubileyniy Stadium	45,015	Saransk	Russia	FC Mordovia Saransk	2015
VTB Arena	45,000	Moscow	Russia	FC Dynamo Moscow	2016
Samara Stadium	44,918	Samara	Russia	FC Krylia Sovetov Samara	2017
Arena Baltika	44,899	Kaliningrad	Russia	FC Volga Nizhny Novgorod	2017
Otkrytie Arena	44,000	Moscow	Russia	FC Spartak Moscow	2014
Timsah Arena	43,877	Bursa	Turkey	Bursaspor	2014
Rostov-on-Don Stadium	43,702	Rostov-on-Don	Russia	FC Rostov	2015
New Konya Stadium	42,276	Konya	Turkey	Konyaspor	2014
Beşiktaş Vodafone Arena	41,903	Istanbul	Turkey	Beşiktaş	2014
New Trabzon Stadium	41,565	Trabzon	Turkey	Trabzonspor	2016
New Samsun 19 Mayıs Stadium	33,919	Samsun	Turkey	Samsunspor	2015
Stadion Widzewa	33,128	Łódź	Poland	Widzew Łódź	2013
New Antalya Stadium	33,000	Antalya	Turkey	Antalyaspor	2015
New Eskişehir Stadium	33,000	Eskişehir	Turkey	Eskişehirspor	2015
New Gaziantep Stadium	33,000	Gaziantep	Turkey	Gaziantepspor	2015
Ernest Pohl Stadium	32,340	Zabrze	Poland	Górnik Zabrze	2013
Sammy Ofer Stadium	30,820	Haifa	Israel	Maccabi Haifa F.C.	2014
VTB Arena	30,000	Moscow	Russia	FC Dynamo Moscow	2017
Batumi Stadium	30,000	Batumi	Georgia	FC Dinamo Batumi	2013
New Varna Stadium	30,000	Varna	Bulgaria	PFC Cherno More Varna	2013
CSKA Moscow Stadium	30,000	Moscow	Russia	PFC CSKA Moscow	2015
New Mersin Stadium	25,534	Mersin	Turkey	Mersin İdmanyurdu SK	2013
Malatya Arena	25,000	Malatya	Turkey	Malatyaspor	2015
New Sakarya Stadium	25,000	Sakarya	Turkey	Sakaryaspor	2015
Sivas 4 Eylül Arena	25,000	Sivas	Turkey	Sivasspor	2015
Stadion Albert Flórián	25,000	Budapest	Hungary	Ferencvárosi TC	2015
City Arena	25,000	Trnava	Slovakia	FC Spartak Trnava	2014
Lithuania National Stadium	25,000	Vilnius	Lithuania	Lithuania national football team	2016
Debrecen Stadion	25,000	Debrecen	Hungary	Debreceni VSC	2014
Karabük University Stadium	25,000	Karabük	Turkey	Karabük University	2013
