Club	Played	Won	Drawn	Lost	Points for	Points against	Tries for	Points
Club	Played	Won	Drawn	Lost	Points for	Points against	Tries for	Points
Garndiffaith RFC	22	19	0	3	718	277	110	57
Old Illtydians RFC	22	19	0	3	536	342	77	57
Nantyglo RFC	22	15	0	7	546	374	73	45
Monmouth RFC	22	15	0	7	515	347	68	45
Llandaff RFC	22	12	0	10	475	384	68	36
Risca RFC	22	10	2	10	440	398	54	32
Tredegar Ironsides RFC	22	10	0	12	349	440	51	30
Machen RFC	22	8	2	12	345	404	49	26
Llandaff North RFC	22	7	2	13	481	523	66	23
Talywain RFC	22	6	0	16	267	577	36	18
Crumlin RFC	22	4	1	17	310	588	45	13
Trinant RFC	22	3	1	18	270	598	23	10
