Week	Date	Opponent	Result	Attendance
1	September 13, 1964	at Buffalo Bills	L 34–17	30,157
2	September 27, 1964	at Oakland Raiders	W 21–9	18,163
3	October 4, 1964	Houston Oilers	W 28–7	22,727
4	October 11, 1964	at Denver Broncos	L 33–27	16,285
5	October 18, 1964	Buffalo Bills	L 35–22	20,904
6	October 23, 1964	at Boston Patriots	L 24–7	27,400
7	November 1, 1964	Denver Broncos	W 49–39	15,053
8	November 8, 1964	Oakland Raiders	W 42–7	21,023
9	November 15, 1964	San Diego Chargers	L 28–14	19,792
10	November 22, 1964	at Houston Oilers	W 28–19	17,782
11	November 29, 1964	at New York Jets	L 27–14	38,135
12	December 6, 1964	Boston Patriots	L 31–24	13,166
13	December 13, 1964	at San Diego Chargers	W 49–6	26,562
14	December 20, 1964	New York Jets	W 24–7	14,316
