Place	Player	Country	Score	To par	Money ( $ )
1	Seve Ballesteros	Spain	68-70-73-69=280	–8	90,000
T2	Ben Crenshaw	United States	76-70-70-68=284	–4	44,000
T2	Tom Kite	United States	70-72-73-69=284	–4	44,000
T4	Raymond Floyd	United States	67-72-71-75=285	–3	22,000
T4	Tom Watson	United States	70-71-71-73=285	–3	22,000
T6	Hale Irwin	United States	72-73-72-69=286	–2	17,400
T6	Craig Stadler	United States	69-72-69-76=286	–2	17,400
T8	Gil Morgan	United States	67-70-76-74=287	–1	14,500
T8	Dan Pohl	United States	74-72-70-71=287	–1	14,500
T8	Lanny Wadkins	United States	73-70-73-71=287	–1	14,500
