Institution	Location	Nickname	Founded	Type	Enrollment	Joined
Bay Path College †	Longmeadow, Massachusetts	Wildcats	1897	Private	1,501	2008
Becker College	Worcester, Massachusetts	Hawks	1784	Private	2,079	2008
Daniel Webster College	Nashua, New Hampshire	Eagles	1965	Private	722	2008
Elms College	Chicopee, Massachusetts	Blazers	1899	Catholic	1,013	2008
Lesley University	Cambridge, Massachusetts	Lynx	1909	Private	1,351	2008
Mitchell College	New London, Connecticut	Mariners	1938	Private	790	2008
Newbury College	Brookline, Massachusetts	Nighthawks	1962	Private	1,311	2008
Regis College	Weston, Massachusetts	Pride	1927	Catholic	1,411	2011
Southern Vermont College	Bennington, Vermont	Mountaineers	1926	Private	410	2008
Wheelock College	Boston, Massachusetts	Wildcats	1888	Private	1,086	2008
