#	Date	Visitor	Score	Home	Leading scorer	Attendance	Record	Streak
2	November 2	Portland Trail Blazers	L 93–113	New Orleans Hornets	Roy : 23	New Orleans Arena 9,817	0–2	L2
3	November 3	Portland Trail Blazers	L 80–89	Houston Rockets	Roy : 23	Toyota Center 18,232	0–3	L3
4	November 7	New Orleans	W 90–93	Portland Trail Blazers	West : 34	Rose Garden 19,980	1–3	W1
5	November 9	Memphis Grizzlies	W 98–110	Portland Trail Blazers	Gay : 31	Rose Garden 18,112	2–3	W2
6	November 10	Dallas Mavericks	W 82–91	Portland Trail Blazers	Roy : 32	Rose Garden 19,255	3–3	W3
7	November 13	Detroit Pistons	W 94–102	Portland Trail Blazers	Aldridge : 22	Rose Garden 19,980	4–3	W4
8	November 14	Portland Trail Blazers	L 93–110	Denver Nuggets	Anthony : 25	Pepsi Center 13,289	4–4	L1
9	November 16	Portland Trail Blazers	L 88–92	Philadelphia 76ers	Roy : 25 Aldridge : 25	Wachovia Center 11,483	4–5	L2
10	November 17	Portland Trail Blazers	L 90–109	Washington Wizards	Jamison : 30	Verizon Center 20,173	4–6	L3
11	November 19	Portland Trail Blazers	L 92–101	Charlotte Bobcats	Wallace : 27	Charlotte Bobcats Arena 10,612	4–7	L4
12	November 21	New Jersey Nets	L 106–101	Portland Trail Blazers	Jefferson : 30	Rose Garden 18,423	4–8	L5
13	November 23	Sacramento Kings	W 84–87	Portland Trail Blazers	Aldridge : 28	Rose Garden 19,980	5–8	W1
14	November 26	Orlando Magic	L 85–74	Portland Trail Blazers	Turkoglu : 21	Rose Garden 15,922	5–9	L1
15	November 28	Indiana Pacers	L 95–89	Portland Trail Blazers	Outlaw : 26	Rose Garden 16,168	5–10	L2
