Week	Date	Opponent	Result	Attendance
1	September 15, 1968	at Baltimore Colts	L 27-10	56,864
2	September 22, 1968	St. Louis Cardinals	W 35-17	27,557
3	September 29, 1968	Atlanta Falcons	W 28-13	27,477
4	October 6, 1968	at Los Angeles Rams	L 24-10	69,520
5	October 13, 1968	Baltimore Colts	L 42-14	32,822
6	October 20, 1968	at New York Giants	W 26-10	62,958
7	October 27, 1968	at Detroit Lions	W 14-7	53,555
8	November 3, 1968	Cleveland Browns	L 33-21	31,359
9	November 10, 1968	at Chicago Bears	L 27-19	46,978
10	November 17, 1968	Los Angeles Rams	T 20-20	41,815
11	November 24, 1968	at Pittsburgh Steelers	W 45-28	21,408
12	December 1, 1968	Green Bay Packers	W 27-20	47,218
13	December 8, 1968	Minnesota Vikings	L 30-20	29,049
14	December 15, 1968	at Atlanta Falcons	W 14-12	44,977
