Year	Men's singles	Women's singles	Men's doubles	Women's doubles	Mixed doubles
1993	Jim Laugesen	Mette Sørensen	Neil Cottrill John Quinn	Nadezhda Chervyakova Marina Yakusheva	John Quinn Nicola Beck
1994	Henrik Sörensen	Irina Serova	Henrik Sörensen Claus Simonsen	Lene Sörensen Mette Sørensen	Jürgen Koch Irina Serova
1995	Thomas Soegaard	Elena Rybkina	Thomas Stavngaard Janek Roos	Michelle Rasmussen Mette Sørensen	Janek Roos Pernille Harder
1996	Daniel Ericsson	Tanja Berg	Johan Tholinsson Henrik Andersson	Ann-Lou Jørgensen Christina Sörensen	Jonas Rasmussen Ann-Lou Jørgensen
1997	Martin Hagberg	Anne Gibson	James Anderson Ian Sullivan	Rebeka Pantaney Gail Emms	Ian Sulivan Gail Emms
1998	Robert Nock	Ella Karachkova	Graham Hurrell Paul Jeffrey	Lorraine Cole Tracey Dineen	Anthony Clark Lorraine Cole
1999	Robert Nock	Katja Michalowsky	Svetoslav Stojanov Michal Popov	Liza Parker Suzanne Rayappan	Ola Molin Johanna Persson
2000	Gerben Bruystens	Christina B. Sörensen	Thomas Hovgaard Jesper Mikla	Britta Andersen Lene Mork	Mathias Boe Britta Andersen
2001	Bobby Milroy	Rebecca Panteney	Michael Popov Manuel Dubrulle	Nadiezda Kostiuczyk Kamila Augustyn	Kristian Roebuck Natalie Munt
2002	Przemysław Wacha	Sara Persson	Svetoslav Stoyanov Vincent Laigle	Johanna Persson Elin Berglom	Andrey Konakh Nadiezda Kostiuczyk
2003	Michael Christensen	Petya Nedelcheva	Michael Popov Manuel Dubrulle	Petya Nedelcheva Nely Boteva	Mike Beres Jody Patrick
2004	Per-Henrik Croona	Katja Michalowsky	Mike Beres William Milroy	Britta Andersen Mie Schjott Kristensen	Jesper Thomsen Britta Andersen
2005	Przemysław Wacha	Susan Hughes	Chris Langridge Chris Tonks	Nadiezda Kostiuczyk Kamila Augustyn	Henri Hurskainen Johanna Persson
2006	Jan O Jorgensen	Ragna Ingolfsdottir	Robert Adcock Robin Middleton	Mie Schjott-Kristensen Christinna Pedersen	Liza Parker Robin Middleton
2007	Arvind Bhat	Rachel van Cutsen	Kasper Henriksen Rasmus Bonde	Mie Schjott-Kristensen Christinna Pedersen	Rasmus Bonde Christinna Pedersen
2008	Chetan Anand	Ella Diehl	Kasper Henriksen Christian Skovgaard	Helle Nielsen Marie Roepke	Rasmus Bonde Helle Nielsen
2009	Petr Koukal	Trupti Murgunde	Mads Conrad-Petersen Mads Pieler Kolding	Maria Helsbol Anne Skelbaek	Viki Indra Okvana Gustiani Megawati
2010	Ajay Jayaram	Karina Jörgensen	Chris Langridge Robin Middleton	Selena Piek Iris Tabeling	Anders Skaarup Rasmussen Anne Skelbaek
2011	Przemyslaw Wacha	Kristina Gavnholt	Adam Cwalina Michal Logosz	Valeria Sorokina Nina Vislova	Alexandr Nikolaenko Nina Vislova
2012	Joachim Persson	Kirsty Gilmour	Chris Langridge Peter Mills	Heather Olver Kate Robertshaw	Chris Langridge Heather Olver
