Week	Home Team	Away Team	Overall Record	Divisional Record
1	Washington	Detroit	(0-1)	(0-0)
2	Detroit	Green Bay	(1-1)	(1-0)
3	Detroit	Miami	(2-1)	(1-0)
4	Indianapolis	Detroit	(3-1)	(1-0)
5	Detroit	Tampa Bay	(4-1)	(2-0)
6	Detroit	Minnesota	(5-1)	(3-0)
7	Detroit	Bye	(5-1)	(3-0)
8	San Francisco	Detroit	(5-2)	(3-0)
9	Detroit	Dallas	(6-2)	(3-0)
10	Chicago	Detroit	(6-3)	(3-1)
11	Tampa Bay	Detroit	(6-4)	(3-2)
12	Detroit	LA Rams	(7-4)	(3-2)
13	Minnesota	Detroit	(8-4)	(4-2)
14	Detroit	Chicago	(9-4)	(5-2)
15	Detroit	NY Jets	(10-4)	(5-2)
16	Green Bay	Detroit	(11-4)	(6-2)
17	Buffalo	Detroit	(12-4)	(6-2)
