Year	Award	Category	Recipient(s)	Result
2009	Teen Choice Awards	Choice TV Actor: Comedy	Jonas Brothers	Won
2009	Teen Choice Awards	Choice TV: Breakout Star Female	Chelsea Staub	Nominated
2009	Teen Choice Awards	Choice TV: Breakout Star Male	Frankie Jonas	Won
2009	Teen Choice Awards	Choice TV: Breakout Show	Jonas L.A.	Won
2010	2010 Kids' Choice Awards	Favorite TV Actor	Joe Jonas	Nominated
2010	2010 Kids' Choice Awards	Favorite TV Actor	Nick Jonas	Nominated
2010	Teen Choice Awards	Choice TV Actor: Comedy	Jonas Brothers	Won
2010	Hollywood Teen TV Awards	Teen Pick Actress: Comedy	Chelsea Staub	Nominated
2010	Emmy Award	Outstanding Children's Program	Jonas L.A.	Nominated
2010	Kids' Choice Awards Mexico	Favorite International Character Male	Joe Jonas	Nominated
2010	Kids' Choice Awards Mexico	Favorite International Character Male	Nick Jonas	Nominated
2010	Kids' Choice Awards Mexico	Favorite Show	Jonas L.A	Nominated
2011	2011 Kids' Choice Awards	Favorite TV Actor	Nick Jonas	Nominated
2011	2011 Kids' Choice Awards	Favorite TV Actor	Joe Jonas	Nominated
