County	Per capita income	Median household income	Median family income	Population	Number of households
Loving	$42,220	$83,889	$84,306	82	39
Borden	$40,916	$58,409	$60,536	641	264
King	$39,511	$61,563	$80,500	286	113
Collin	$37,362	$80,504	$94,785	782,341	283,759
Kendall	$36,418	$66,655	$80,801	33,410	12,617
Rockwall	$33,274	$78,032	$83,639	78,337	26,448
Denton	$32,538	$70,622	$86,891	662,614	240,289
Fort Bend	$32,016	$79,845	$88,454	585,375	187,384
Montgomery	$31,959	$65,620	$76,096	455,746	162,530
Comal	$31,862	$64,752	$75,831	108,472	41,363
Irion	$31,857	$48,833	$67,604	1,599	653
Travis	$31,785	$54,074	$69,646	1,024,266	404,467
Edwards	$31,109	$40,163	$44,118	2,002	839
Midland	$30,956	$54,945	$64,913	136,872	50,845
Hood	$30,687	$54,882	$65,844	51,182	20,795
Williamson	$29,663	$68,780	$78,040	422,679	152,606
Andrews	$29,605	$48,699	$55,905	14,786	5,259
Hemphill	$29,343	$62,159	$76,176	3,807	1,382
Roberts	$29,291	$52,500	$61,375	929	359
Llano	$29,027	$41,969	$52,880	19,301	9,008
Galveston	$28,959	$58,317	$70,870	291,309	108,969
Randall	$28,668	$56,041	$70,592	120,725	47,975
Parker	$28,539	$61,340	$71,217	116,927	42,069
Goliad	$28,120	$51,786	$62,450	7,210	2,868
Gillespie	$28,072	$52,682	$62,746	24,837	10,572
Brazoria	$27,529	$65,607	$76,018	313,166	106,589
United States	$27,334	$51,914	$62,982	308,745,538	116,716,292
Tarrant	$27,333	$55,306	$65,351	1,809,034	657,134
Wheeler	$27,282	$42,909	$54,495	5,410	2,181
Kimble	$27,118	$43,429	$52,262	4,607	2,016
Kent	$27,021	$47,750	$54,000	808	350
Blanco	$27,010	$46,128	$64,353	10,497	4,309
Austin	$26,959	$53,263	$62,816	28,417	10,837
Fayette	$26,898	$45,450	$56,157	24,554	10,078
Harris	$26,788	$51,444	$58,505	4,092,459	1,435,155
Chambers	$26,453	$66,764	$74,705	35,096	11,952
Somervell	$26,314	$52,135	$68,942	8,490	3,078
Dallas	$26,185	$47,974	$53,849	2,368,139	855,960
Glasscock	$26,104	$61,184	$68,214	1,226	441
Hays	$25,998	$56,353	$74,471	157,107	55,245
Aransas	$25,610	$42,179	$51,058	23,158	9,795
Washington	$25,464	$43,159	$56,039	33,718	13,037
Kerr	$25,454	$43,072	$52,559	49,625	20,550
Smith	$25,374	$46,139	$57,225	209,714	79,055
Ellis	$25,346	$60,877	$69,000	149,610	50,503
