Tournament	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	Career Win-Loss
Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments
Australian Open	A	A	A	A	4R	3R	3R	3R	4R	A	3R	14–6
French Open	A	A	A	LQ	2R	3R	3R	QF	A	3R	A	12–5
Wimbledon	A	A	A	2R	1R	SF	4R	QF	A	QF	A	17–6
U.S. Open	A	A	A	1R	1R	1R	2R	A	A	A	A	1–4
Grand Slam SR	0 / 0	0 / 0	0 / 0	0 / 2	0 / 4	0 / 4	0 / 4	0 / 3	0 / 1	0 / 2	0 / 1	N/A
Grand Slam Win-Loss	0–0	0–0	0–0	1–2	4–4	9–4	8–4	10–3	3–1	6–2	2–1	43–21
Olympic Games	Olympic Games	Olympic Games	Olympic Games	Olympic Games	Olympic Games	Olympic Games	Olympic Games	Olympic Games	Olympic Games	Olympic Games	Olympic Games	Olympic Games
Summer Olympics	NH	A	Not Held	Not Held	Not Held	1R	Not Held	Not Held	Not Held	A	Not Held	0–1
Year-End Championship	Year-End Championship	Year-End Championship	Year-End Championship	Year-End Championship	Year-End Championship	Year-End Championship	Year-End Championship	Year-End Championship	Year-End Championship	Year-End Championship	Year-End Championship	Year-End Championship
Tennis Masters Cup	A	A	A	A	A	A	A	A	A	A	A	0–0
ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series
Indian Wells Masters	A	A	A	A	1R	1R	2R	4R	A	3R	2R	6–7
Miami Masters	A	A	A	1R	1R	LQ	4R	QF	A	4R	A	10–6
Monte Carlo Masters	A	A	A	A	LQ	A	2R	A	A	2R	A	2–2
Rome Masters	A	A	A	A	LQ	1R	1R	QF	A	2R	A	4–4
Madrid Masters	A	A	A	A	A	1R	2R	2R	QF	A	A	3–4
Hamburg Masters	A	A	A	A	LQ	A	3R	SF	A	A	NMS	6–2
Canada Masters	A	A	A	A	1R	A	3R	A	2R	1R	A	3–4
Cincinnati Masters	A	A	A	A	LQ	A	4R	A	2R	A	A	3–2
Shanghai Masters	Not Held	Not Held	Not Held	Not Held	Not Held	Not Held	Not Held	Not Held	Not Held	Not Held	A	0–0
Paris Masters	A	A	A	A	A	1R	2R	QF	2R	2R	A	4–5
Career statistics	Career statistics	Career statistics	Career statistics	Career statistics	Career statistics	Career statistics	Career statistics	Career statistics	Career statistics	Career statistics	Career statistics	Career statistics
Year	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	N/A
ATP Tournaments Played	0	0	0	7	18	22	24	20	10	16	7	127
ATP Runners-up	0	0	0	0	0	1	2	3	0	1	1	8
ATP Tournaments Won	0	0	0	0	0	0	1	2	0	0	0	3
Hard Win-Loss	0–0	0–0	0–0	2–6	9–13	6–10	25–15	25–12	12–10	18–7	13–6	111–80
Clay Win-Loss	0–0	0–0	0–0	0–0	3–4	6–6	6–5	13–5	0–0	6–5	0–1	35–26
Grass Win-Loss	0–0	1–0	0–0	1–1	2–3	10–3	9–2	9–1	0–0	8–3	0–0	40–13
Carpet Win-Loss	0–1	2–0	1–0	0–0	1–1	5–5	4–5	7–1	1–1	0–0	0–0	21–14
Overall Win-Loss	0–1	3–0	1–0	3–7	15–21	27–24	44–27	54–19	13–11	32–15	13–7	208–135 1
Win (%)	0%	100%	100%	42%	30%	53%	62%	74%	54%	68%	65%	61%
Year End Ranking	1037	547	294	89	74	29	21	9	85	36	95	N/A
