Event	Year	Category	Work	Outcome
AVMAs	2005	Supernova Award	–	Nominee
ARIA Awards	2005	Breakthrough Artist – Single	" These Kids "	Nominee
ARIA Awards	2005	Best Urban Release	Joel Turner and the Modern Day Poets	Nominee
ARIA Awards	2005	Best Independent Release	Joel Turner and the Modern Day Poets	Nominee
ARIA No. 1 Chart Awards	2005	–	" These Kids "	Winner
APRA Awards	2006	Most Performed Urban Work	" These Kids "	Nominated
APRA Awards	2006	Most Performed Urban Work	" Funk U Up "	Nominated
APRA Awards	2008	Urban Work of the Year	" All Night Long "	Nominated
APRA Awards	2008	Urban Work of the Year	" City of Dreams "	Nominated
APRA Awards	2009	Urban Work of the Year	" City of Dreams "	Nominated
