Year	Team	Manufacturer	Start	Finish
1993	Hendrick Motorsports	Chevrolet	3	5
1994	Hendrick Motorsports	Chevrolet	6	4
1995	Hendrick Motorsports	Chevrolet	4	22
1996	Hendrick Motorsports	Chevrolet	8	42
1997	Hendrick Motorsports	Chevrolet	6	1
1998	Hendrick Motorsports	Chevrolet	29	16
1999	Hendrick Motorsports	Chevrolet	1	1
2000	Hendrick Motorsports	Chevrolet	11	34
2001	Hendrick Motorsports	Chevrolet	13	30
2002	Hendrick Motorsports	Chevrolet	3	9
2003	Hendrick Motorsports	Chevrolet	13	12
2004	Hendrick Motorsports	Chevrolet	39	8
2005	Hendrick Motorsports	Chevrolet	15	1
2006	Hendrick Motorsports	Chevrolet	2	26
2007	Hendrick Motorsports	Chevrolet	42	10
2008	Hendrick Motorsports	Chevrolet	8	39
2009	Hendrick Motorsports	Chevrolet	3	13
2010	Hendrick Motorsports	Chevrolet	21	26
2011	Hendrick Motorsports	Chevrolet	2	28
2012	Hendrick Motorsports	Chevrolet	16	40
2013	Hendrick Motorsports	Chevrolet	2	20
