Club	Played	Drawn	Lost	Points for	Points against	Tries for	Tries against	Try bonus	Losing bonus
Club	Played	Drawn	Lost	Points for	Points against	Tries for	Tries against	Try bonus	Losing bonus
Rhymney RFC	20	0	2	553	261	79	30	140	86
Garndiffaith RFC	20	1	2	864	299	119	36	141	85
Pill Harriers RFC	20	1	3	705	309	98	34	122	80
Pontypool United RFC	20	0	7	542	308	72	38	105	67
Newport HSOB RFC	20	0	8	538	436	72	62	91	58
Risca RFC	20	0	11	524	488	66	62	74	47
Tredegar Ironsides RFC	20	0	12	310	499	43	71	22	36
Abergavenny RFC	20	0	14	385	497	54	67	53	32
Abertillery RFC	20	0	15	287	588	37	78	13	24
Croesyceiliog RFC	20	0	16	326	653	37	92	13	20
Blaina RFC	20	0	19	234	930	26	133	03	7
Newport Saracens RFC	0	0	0	0	0	0	0	00	0
Correct as of 27 May 2012	Correct as of 27 May 2012	Correct as of 27 May 2012	Correct as of 27 May 2012	Correct as of 27 May 2012	Correct as of 27 May 2012	Correct as of 27 May 2012	Correct as of 27 May 2012	Correct as of 27 May 2012	Correct as of 27 May 2012
