Year	Men's singles	Women's singles	Men's doubles	Women's doubles	Mixed doubles
1990	Morten Frost Hansen	Pernille Nedergaard	Imay Hendra Bagus Setiadi	Christine Magnusson Maria Bengtsson	Thomas Lund Pernille Dupont
1991	Liu Jun	Tang Jiuhong	Chen Kang Chen Hongyong	Nettie Nielsen Gillian Clark	Henrik Svarrer Maria Bengtsson
1992	Poul-Erik Hoyer Larsen	Pernille Niedergaard	Peter Axelsson Par-Gunnar Jonsson	Lisbeth Stuer-Lauridsen Marlene Thomsen	Jan Paulsen Fiona Smith (Elliott)
1993	Peter Espersen	Camilla Martin	Christian Jakobsen Henrik Svarrer	Marlene Thomsen Camilla Martin	Jan-Eric Antonsson Astrid Crabo
1994 1995	No competition	No competition	No competition	No competition	No competition
1996	Rikard Magnusson	Joanne Muggeridge	Ian Pearson James Anderson	Kelly Morgan Joanne Muggeridge	James Anderson Emma Chaffin
1997 2001	No competition	No competition	No competition	No competition	No competition
2002	Kasperi Salo	Anu Weckström	Eugenij Isakov Andrei Zholobov	Elin Bergblom Johanna Persson	Konstantin Dobrev Petya Nedelcheva
2003	Kasperi Salo	Xu Huaiwen	Victor Maljutin Mikhail Kell	Nadiezda Kostiuczyk Kamila Augustyn	Thomas Laybourn Julie Houmann
2004	Hidetaka Yamada	Jiang Yanmei	Yevgeni Isakov Sergei Ivlev	Neli Boteva Petya Nedelcheva	Andrei Konakh Olga Konon
2005	Joachim Persson	Susan Hughes	Henrik Andersson Fredrik Bergström	Sandra Marinello Kathrin Piotrowski	Robert Mateusiak Nadieżda Kostiuczyk
2006	Joachim Persson	Petra Overzier	Jonas Rasmussen Peter Steffensen	Ekaterina Ananina Anastasia Russkikh	Jonas Rasmussen Britta Andersen
2007	Joachim Persson	Li Wenyan	Frederic Mawet Wouter Claes	Mie Schjött-Kristensen Christinna Pedersen	Tim Dettmann Annekatrin Lillie
2008	Martin Bille Larsen	Elizabeth Cann	Fran Kurniawan Rendra Wijaya	Lena Frier Kristiansen Kamilla Rytter Juhl	Fran Kurniawan Shendy Puspa Irawati
2009	Peter Mikkelsen	Juliane Schenk	Chen Hung-ling Lin Yu-lang	Valeria Sorokina Nina Vislova	Vitalij Durkin Nina Vislova
2010	Raul Must	Anastasia Prokopenko	Sebastien Vincent Laurent Constantin	Barbara Matias Elisa Chanteur	Mikkel Delbo Larsen Mie Schjøtt-Kristensen
2011	No competition	No competition	No competition	No competition	No competition
2012	Rajiv Ouseph	Yao Jie	Vladimir Ivanov Ivan Sozonov	Alex Bruce Michelle Li	Chris Adcock Imogen Bankier
2013	Rajiv Ouseph	Carolina Marin	Nelson Heg Wei Keat Teo Ee Yi	Imogen Bankier Petya Nedelcheva	Anders Skaarup Rasmussen Lena Grebak
