-	ODM	NARC ODM-affiliated	PNU	PNU-affiliated	KANU PNU-affiliated	ODM-Kenya	Unaffiliated	Total	Vacant
Begin	99	3	43	21	14	16	11	207	3
15 January 2008	98	3	43	21	14	16	11	206	4
29 January 2008	97	3	43	21	14	16	11	205	5
31 January 2008	96	3	43	21	14	16	11	204	6
11 March 2008	102	3	46	21	15	18	11	216	6
10 June 2008	100	3	46	21	15	18	11	214	8
17 June 2008	103	3	48	21	15	18	11	219	3
7 October 2008	105	3	49	21	15	18	11	222	0
18 March 2009	105	3	49	20	15	18	11	221	1
4 May 2009	104	3	49	20	15	18	11	220	2
1 September 2009	106	3	49	20	15	18	11	222	0
15 January 2010	105	3	49	20	15	18	11	221	1
25 February 2010	105	3	48	20	15	18	11	220	2
29 April 2010	105	3	47	20	15	18	11	219	3
14 May 2010	105	3	46	20	15	18	11	218	4
16 June 2010	105	3	46	21	15	18	11	219	3
20 July 2010	105	3	47	21	15	18	11	220	2
13 August 2010	104	3	47	21	14	18	11	218	4
28 September 2010	105	3	47	23	14	18	11	221	1
19 October 2010	105	3	47	23	14	19	11	222	0
24 November 2010	105	3	47	22	14	19	11	221	1
22 February 2011	105	3	48	22	14	19	11	222	0
24 February 2011	105	3	47	22	14	19	11	221	1
14 March 2011	105	3	47	21	14	19	11	220	2
31 May 2011	105	3	47	22	14	19	11	221	1
23 August 2011	105	3	48	22	14	19	11	222	0
1 September 2011	105	3	48	22	14	19	10	221	1
6 December 2011	105	3	49	22	14	19	10	222	0
20 July 2012	104	3	47	22	14	19	10	219	3
20 September 2012	105	3	47	24	14	19	10	222	0
