Week	Date	Opponent	Final Score	Result	Attendance	Record
1	July 11	vs. Toronto Argonauts	35–18	Loss	23254	0–1
2	July 17	at Edmonton Eskimos	40–33	Loss	35511	0–2
3	July 24	vs. Calgary Stampeders	42–28	Loss	18788	0–3
4	Aug 2	at Winnipeg Blue Bombers	26–19	Loss	24743	0–4
5	Aug 8	vs. Winnipeg Blue Bombers	41–31	Win	23414	1–4
6	Aug 15	vs. Edmonton Eskimos	36–35	Win	25884	2–4
7	Aug 24	at Hamilton Tiger-Cats	24–19	Win	11027	3–4
8	Aug 29	vs. Hamilton Tiger-Cats	38–14	Win	24532	4–4
9	Sept 4	at BC Lions	24–20	Loss	28107	4–5
10	Sept 8	vs. BC Lions	56–29	Loss	24171	4–6
11	Sept 14	at Hamilton Tiger-Cats	33–26	Win	10402	5–6
12	Sept 22	at Winnipeg Blue Bombers	40–8	Loss	32675	5–7
13	Sept 29	vs. Toronto Argonauts	25–24	Loss	26172	5–8
14	Oct 6	vs. Saskatchewan Roughriders	42–25	Win	22038	6–8
15	Oct 13	at Calgary Stampeders	44–24	Loss	18761	6–9
16	Oct 20	at Saskatchewan Roughriders	41–28	Loss	19478	6–10
17	Oct 26	vs. Winnipeg Blue Bombers	46–20	Win	23060	7–10
