Title	Year	Developer	Publisher	Players per Console	Genre
A.P.B.	1991	Quicksilver Software	Atari	1	Arcade
Awesome Golf	1991	Hand Made Software	Atari	1	Sports
Baseball Heroes	1992	Atari	Atari	1	Sports
Basketbrawl	1992	Atari	Atari	1	Action/Sports
Batman Returns	1992	Atari	Atari	1	Action/Platform
BattleWheels	1993	Beyond Games	Beyond Games	1	Action/Driving
Battlezone 2000	1995	Hand Made Software	Atari	1	Action/Arcade
Bill & Ted's Excellent Adventure	1991	Atari	Atari	1	Action/Adventure
Block Out	1991	California Dreams	Atari	1	Action/Strategy
Blue Lightning	1989	Epyx	Atari	1	Action
California Games	1989	Epyx	Atari	1	Action/Sports
Checkered Flag	1991	Atari	Atari	1	Racing
Chip's Challenge	1989	Epyx	Atari	1	Puzzle
Crystal Mines II	1992	Color Dreams	Atari	1	Puzzle
Desert Strike	1993	Teque London	Telegames	1	Action/Strategy
Dinolympics	1992	Imagitec Design	Atari	1	Puzzle
Dirty Larry--Renegade Cop	1992	Knight Technologies	Atari	1	Action
Double Dragon	1993	Knight Technologies	Telegames	1	Arcade/Fighting
Dracula - The Undead	1992	Hand Made Software	Atari	1	Adventure
Electrocop	1989	Epyx	Atari	1	Action/Adventure
European Soccer Challenge	1993	Krisalis Software	Telegames	1	Sports
Fidelity Ultimate Chess Challenge	1991	Telegames	Telegames	1-2	Strategy
Gates of Zendocon	1989	Epyx	Atari	1	Action/Shooter
Gauntlet: The Third Encounter	1990	Epyx	Atari	1	Action/Adventure
Gordo 106	1993	Tenth Planet	Atari	1	Platform
Hard Drivin'	1991	NuFX	Atari	1	Arcade/Driving
Hockey	1992	Alpine Studios	Atari	1	Sports
Hydra	1992	NuFX	Atari	1	Arcade
Ishido: The Way of the Stones	1991	California Dreams	Atari	1-2	Strategy
Jimmy Connors' Tennis	1993	Hand Made Software	Atari	1	Sports
Joust	1992	Shadowsoft	Williams	1	Arcade
Klax	1990	Atari	Atari	1	Action/Strategy
Krazy Ace Miniature Golf	1993	Telegames	Telegames	1-4	Sports
Kung Food	1992	Lore Games	Atari	1	Action/Fighting
Lemmings	1993	DMA Design	Atari	1	Strategy
Lynx Casino	1992	Atari	Atari	1	Strategy
Malibu Bikini Volleyball	1993	Hand Made Software	Atari	1	Sports
Ms. Pac-Man	1990	Namco	Atari	1	Arcade
NFL Football	1992	Atari	Atari	1	Sports
Ninja Gaiden	1991	Tecmo	Atari	1	Arcade
Ninja Gaiden III: The Ancient Ship of Doom	1993	Tecmo	Atari	1	Action/Platform
Pac-Land	1991	Namco	Atari	1-2	Arcade
Paperboy	1990	Tengen	Atari	1	Arcade
Pinball Jam	1992	Music Comp	Atari	1	Arcade/Action
Pit-Fighter	1992	Tengen	Atari	1	Arcade/Fighting
Power Factor	1992	Hand Made Software	Atari	1	Action
Qix	1991	Knight Technologies	Telegames	1-2	Arcade
Rampage	1990	Atari	Atari	1	Arcade
Rampart	1992	Tengen	Atari	1	Arcade
RoadBlasters	1990	Tengen	Atari	1	Arcade/Driving
Robo-Squash	1990	Atari	Atari	1	Action/Sports
Robotron: 2084	1991	Shadowsoft	Williams	1	Arcade
Rygar	1990	Tecmo	Atari	1	Arcade
Scrapyard Dog	1991	Creative Software Designs	Atari	1	Platform
Shadow of the Beast	1992	Digital Developments	Atari	1	Action/Strategy
Shanghai	1990	Atari	Atari	1	Strategy
Steel Talons	1992	NuFX	Atari	1	Arcade
S.T.U.N. Runner	1991	Tengen	Atari	1	Arcade
Super Asteroids & Missile Command	1995	Atari	Atari	1	Arcade
Super Off Road	1993	Tradewest	Telegames	1	Arcade/Driving
Super Skweek	1991	Loriciel	Atari	1	Action/Strategy
Switchblade II	1992	Gremlin Graphics	Atari	1	Platform
Todd's Adventures in Slime World	1990	Epyx	Atari	1	Action/Adventure
Toki	1992	Fabtek	Atari	1	Platform
Tournament Cyberball 2072	1991	Tengen	Atari	1	Arcade/Sports
Turbo Sub	1991	Atari	Atari	1	Action/Shooter
Viking Child	1991	Imagitec Design	Atari	1	Action/Adventure
Warbirds	1991	Atari	Atari	1	Action/Strategy
World Class Fussball/Soccer	1992	Atari	Atari	1	Sports
Xenophobe	1990	Atari	Atari	1	Arcade
Xybots	1991	Tengen	Atari	1	Arcade
Zarlor Mercenary	1990	Epyx	Atari	1	Shooter
