District	Incumbent	Party	First elected	Results	Candidates
Georgia 1	Jack Kingston	Republican	1992	Re-elected	Jack Kingston (R) 68.5% Jim Nelson (D) 31.5%
Georgia 2	Sanford Bishop	Democratic	1992	Re-elected	Sanford Bishop (D) 67.9% Brad Hughes (R) 32.1%
Georgia 3	Lynn Westmoreland	Republican	2004	Re-elected	Lynn Westmoreland (R) 67.6% Mike McGraw (D) 32.4%
Georgia 4	Cynthia McKinney	Democratic	2002	Lost renomination Democratic hold	Hank Johnson (D) 75.4% Catherine Davis (R) 24.6%
Georgia 5	John Lewis	Democratic	1986	Re-elected	John Lewis (D) unopposed
Georgia 6	Tom Price	Republican	2004	Re-elected	Tom Price (R) 72.4% Steve Sinton (D) 27.6%
Georgia 7	John Linder	Republican	1992	Re-elected	John Linder (R) 70.9% Allan Burns (D) 29.1%
Georgia 8	Jim Marshall	Democratic	2002	Re-elected	Jim Marshall (D) 50.5% Mac Collins (R) 49.5%
Georgia 9	Nathan Deal	Republican	1992	Re-elected	Nathan Deal (R) 76.6% John Bradbury (D) 23.4%
Georgia 10	Charlie Norwood	Republican	1994	Re-elected	Charlie Norwood (R) 67.4% Terry Holley (D) 32.6%
Georgia 11	Phil Gingrey	Republican	2002	Re-elected	Phil Gingrey (R) 71.1% Patrick Pillion (D) 28.9%
Georgia 12	John Barrow	Democratic	2004	Re-elected	John Barrow (D) 50.3% Max Burns (R) 49.7%
Georgia 13	David Scott	Democratic	2002	Re-elected	David Scott (D) 69.2% Deborah Honeycutt (R) 30.8%
