Place	Player	Country	Score	To par	Money ( $ )
1	Gary Player	South Africa	72-72-69-64=277	–11	45,000
T2	Rod Funseth	United States	73-66-70-69=278	–10	21,667
T2	Hubert Green	United States	72-69-65-72=278	–10	21,667
T2	Tom Watson	United States	73-68-68-69=278	–10	21,667
T5	Wally Armstrong	United States	72-70-70-68=280	–8	11,750
T5	Billy Kratzert	United States	70-74-67-69=280	–8	11,750
7	Jack Nicklaus	United States	72-73-69-67=281	–7	10,000
8	Hale Irwin	United States	73-67-71-71=282	–6	8,500
T9	David Graham	Australia	75-69-67-72=283	–5	6,750
T9	Joe Inman	United States	69-73-72-69=283	–5	6,750
