Year	Venue	Winner	Runner Up	Third Place
2004	Ghent, Belgium	Kevin Ashman (Eng)	Nico Pattyn (Bel)	Pat Gibson (Eng)
2005	Tallinn, Estonia	Kevin Ashman (Eng)	Indrek Salis (Est)	Pat Gibson (Eng)
2006	Paris, France	Kevin Ashman (Eng)	Mark Bytheway (Eng)	Lieven Van den Brande (Bel)
2007	Blackpool, England	Nico Pattyn (Bel)	Lieven Van den Brande (Bel)	Pat Gibson (Eng)
2008	Oslo, Norway	Kevin Ashman (Eng)	Pat Gibson (Eng)	Olav Bjortomt (Eng)
2009	Dordrecht, Netherlands	Kevin Ashman (Eng)	Olav Bjortomt (Eng)	Pat Gibson (Eng)
2010	Derby, England	Olav Bjortomt (Eng)	Tero Kalliolevo (Fin)	Pat Gibson (Eng)
2011	Bruges, Belgium	Kevin Ashman (Eng)	Pat Gibson (Eng)	Olav Bjortomt (Eng)
2012	Tartu, Estonia	Holger Waldenberger (Ger)	Igor Habal (Est)	Olav Bjortomt (Eng)
2013	Liverpool, England	Ronny Swiggers (Bel)	Nico Pattyn (Bel)	Jesse Honey (Eng)
