Game	Date	Team	Score	High points	High rebounds	High assists	Location Attendance	Record
19	December 1	Oklahoma City	L 120–123 (3OT)	Jordan Farmar , Brook Lopez (28)	Kris Humphries (15)	Jordan Farmar (9)	Prudential Center 13,108	6–13
20	December 3	@ Charlotte	L 84–91 (OT)	Travis Outlaw (21)	Kris Humphries , Troy Murphy (8)	Jordan Farmar (10)	Time Warner Cable Arena 12,183	6–14
21	December 5	Boston	L 75–100 (OT)	Jordan Farmar (16)	Johan Petro (9)	Devin Harris , Damion James (3)	Prudential Center 16,196	6–15
22	December 7	@ Atlanta	L 101–116 (OT)	Brook Lopez (24)	Kris Humphries (7)	Devin Harris (13)	Philips Arena 14,273	6–16
23	December 9	@ Dallas	L 89–102 (OT)	Brook Lopez (24)	Kris Humphries (13)	Devin Harris , Terrence Williams (4)	American Airlines Center 19,666	6–17
24	December 12	L.A. Lakers	L 92–99 (OT)	Brook Lopez (25)	Kris Humphries (11)	Devin Harris (10)	Prudential Center 16,561	6–18
25	December 14	Philadelphia	L 77–82 (OT)	Brook Lopez (16)	Derrick Favors , Kris Humphries (13)	Devin Harris (6)	Prudential Center 10,151	6–19
26	December 16	Washington	W 97–89 (OT)	Devin Harris (29)	Kris Humphries (17)	Devin Harris (9)	Prudential Center 10,764	7–19
27	December 17	@ Toronto	L 92–98 (OT)	Brook Lopez (20)	Kris Humphries (12)	Devin Harris (6)	Air Canada Centre 14,623	7–20
28	December 19	Atlanta	W 89–82 (OT)	Devin Harris (22)	Stephen Graham (7)	Devin Harris (8)	Prudential Center 11,295	8–20
29	December 21	@ Memphis	W 101–94 (OT)	Brook Lopez (26)	Kris Humphries (15)	Jordan Farmar (6)	FedExForum 14,113	9–20
30	December 22	@ New Orleans	L 91–105 (OT)	Devin Harris (21)	Troy Murphy (7)	Devin Harris (8)	New Orleans Arena 15,423	9–21
31	December 27	Orlando	L 88–104 (OT)	Devin Harris (24)	Kris Humphries (11)	Devin Harris (6)	Prudential Center 11,514	9–22
32	December 29	@ Oklahoma City	L 93–114 (OT)	Devin Harris , Brook Lopez (19)	Kris Humphries (7)	Ben Uzoh (5)	Oklahoma City Arena 18,203	9–23
