Round	Pick	Player	Position	School/Club Team
1	8	Dick Wildung	Tackle	Minnesota
3	23	Irv Comp	Back	Benedictine
5	38	Roy McKay	Back	Texas
6	48	Nick Susoeff	End	Washington State
7	58	Ken Snelling	Fullback	UCLA
8	68	Lester Gatewood	Center	Baylor
9	78	Norm Verry	Tackle	USC
10	88	Solon Barnett	Guard	Baylor
11	98	Bob Forte	Back	Arkansas
12	108	Van Davis	End	Georgia
13	118	Tom Brock	Center	Notre Dame
14	128	Ralph Tate	Back	Oklahoma State
15	138	Don Carlson	Tackle	Denver
16	148	Mike Welch	Back	Minnesota
17	158	Ron Thomas	Guard	USC
18	168	Jim Powers	Tackle	St. Mary's (CA)
19	178	Hal Prescott	Wide Receiver	Hardin-Simmons
20	188	Eddie Forrest	Center	Santa Clara
21	198	Lloyd Wasserbach	Tackle	Wisconsin
22	208	Mark Hoskins	Back	Wisconsin
23	218	Earl Bennett	Guard	Hardin-Simmons
24	228	George Zellick	End	Oregon State
25	238	Gene Bierhaus	End	Minnesota
26	248	George Makris	Guard	Wisconsin
27	258	Pete Susick	Back	Washington
28	268	Bud Hasse	End	Northwestern
29	278	Dick Thornally	Tackle	Wisconsin
30	288	Bob Ray	Back	Wisconsin
31	293	Brunel Christensen	Tackle	California
32	298	Ken Roskie	Fullback	South Carolina
