Round	Pick	Player	Position	School/Club Team
1	7	Earl Girard	Halfback	Wisconsin
3	19	Ed Smith	Halfback	UTEP
5	27	Don Richards	Tackle	Arkansas
5	31	Weyman Sellers	End	Georgia
6	41	Larry Olsonoski	Guard	Minnesota
7	51	Jay Rhodemyre	Center	Kentucky
8	61	Bob Cunz	Tackle	Illinois
10	81	George Walmsley	Back	Rice
11	91	Bob Hodges	Tackle	Bradley
12	101	Bob Rennebohm	End	Wisconsin
13	111	Perry Moss	Quarterback	Illinois
14	121	Fred Provo	Halfback	Washington
15	131	Lou Agase	Tackle	Illinois
16	141	Travis Raven	Back	Texas
18	161	Ken Balge	End	Michigan State
19	171	Charley Tatom	Tackle	Texas
20	181	Floyd Thomas	Center	Arkansas
21	191	Herbert St. John	Guard	Georgia
22	201	Don Anderson	Back	Rice
23	211	Fred Kling	Back	Missouri
24	221	Clyde Biggers	Tackle	Catawba
25	231	Stan Heath	Quarterback	Nevada
26	241	Aubrey Allen	Tackle	Colorado
27	251	Stan Gorski	End	St. Mary's (MN)
28	261	Don Sharp	Center	Tulsa
29	271	John Panelli	Back	Notre Dame
30	281	Clarence McGeary	Defensive Tackle	North Dakota State
31	289	Gayland Mills	End	BYU
32	296	Ralph Earhart	Halfback	Texas Tech
