Overall rank	Country	Overall life expectancy	Male life expectancy	Male rank	Female life expectancy	Female rank
1	Japan	83	79	12	86	1
1	Switzerland	83	80	4	85	2
1	San Marino	83	82	2	83	20
4	Italy	82	80	4	85	2
4	Singapore	82	80	4	85	2
4	Iceland	82	81	3	84	9
4	Andorra	82	79	12	85	2
4	Australia	82	80	4	84	9
4	Spain	82	79	12	85	2
4	Qatar	82	83	1	81	35
4	Israel	82	80	4	84	9
4	Monaco	82	79	12	85	2
4	France	82	78	24	85	2
4	Sweden	82	80	4	84	9
4	Canada	82	80	4	84	9
4	Luxembourg	82	79	12	84	9
17	Cyprus	81	79	12	84	9
17	Norway	81	79	12	83	20
17	New Zealand	81	79	12	83	20
17	Netherlands	81	79	12	83	20
17	Austria	81	78	24	84	9
17	Greece	81	78	24	84	9
17	Ireland	81	79	12	83	20
17	South Korea	81	77	31	84	9
17	Finland	81	78	24	84	9
17	Germany	81	78	24	83	20
27	United Kingdom	80	79	12	82	29
27	Belgium	80	78	24	83	20
27	Malta	80	79	12	82	29
27	Slovenia	80	77	31	83	20
27	Portugal	80	77	31	83	20
27	Kuwait	80	80	4	80	42
33	Denmark	79	77	31	82	29
33	Chile	79	76	36	82	29
33	Costa Rica	79	77	31	81	35
33	Bahrain	79	78	24	80	42
33	United States	79	76	36	81	35
38	Cuba	78	76	36	80	42
38	Czech Republic	78	75	45	81	35
38	Barbados	78	75	45	80	42
38	Colombia	78	74	49	81	35
42	Brunei Darussalam	77	76	36	78	57
42	Croatia	77	74	49	80	42
42	Cook Islands	77	73	56	82	29
42	Peru	77	75	45	78	57
42	Panama	77	74	49	80	42
42	Maldives	77	76	36	78	57
42	Uruguay	77	73	56	80	42
49	Estonia	76	71	82	81	35
49	Poland	76	72	67	81	35
49	Bosnia and Herzegovina	76	74	49	78	57
49	Slovakia	76	72	67	80	42
49	Ecuador	76	73	56	79	51
49	Argentina	76	72	67	79	51
49	Turkey	76	73	56	78	57
49	United Arab Emirates	76	75	45	77	75
49	Montenegro	76	73	56	78	57
49	Tunisia	76	74	49	78	57
49	China	76	74	49	77	75
49	Saudi Arabia	76	74	49	80	42
61	Venezuela	75	72	67	79	51
61	Macedonia	75	73	56	77	75
61	Vietnam	75	73	56	77	75
61	Syria	75	73	56	77	75
61	Bahamas	75	72	67	78	57
61	Hungary	75	71	82	79	51
61	Saint Lucia	75	71	82	79	51
61	Mexico	75	72	67	78	57
61	Antigua and Barbuda	75	73	56	76	87
61	Jamaica	75	71	82	78	57
61	Sri Lanka	75	71	82	78	57
61	Paraguay	75	72	67	78	57
73	Dominica	74	72	67	77	75
73	Serbia	74	72	67	77	75
73	Brazil	74	71	82	78	57
73	Bulgaria	74	71	82	78	57
73	Grenada	74	71	82	77	75
73	Saint Kitts and Nevis	74	71	82	77	75
73	Romania	74	70	97	78	57
73	Honduras	74	72	67	76	87
73	Thailand	74	71	82	77	75
73	Malaysia	74	72	67	76	87
73	Albania	74	73	56	75	102
73	Mauritius	74	70	97	78	57
73	Latvia	74	69	103	78	57
73	Lebanon	74	72	67	76	87
73	Lithuania	74	68	108	79	51
73	Saint Vincent and the Grenadines	74	71	82	76	87
73	Belize	74	71	82	76	87
73	Seychelles	74	69	103	78	57
73	Jordan	74	72	67	75	102
92	Iran	73	72	67	75	102
92	Egypt	73	71	82	75	102
92	Algeria	73	71	82	74	110
92	Nicaragua	73	70	97	76	87
92	Samoa	73	70	97	76	87
92	Dominican Republic	73	72	67	73	115
98	Suriname	72	69	103	76	87
98	Oman	72	70	97	76	87
98	Morocco	72	70	97	74	110
98	Niue	72	65	130	82	29
98	Vanuatu	72	71	82	74	110
98	Georgia	72	68	108	76	87
98	El Salvador	72	68	108	76	87
98	Tonga	72	73	56	70	128
98	Palau	72	68	108	77	75
98	Cape Verde	72	68	108	76	87
108	Nauru	71	68	108	76	87
108	Belarus	71	66	122	77	75
108	Azerbaijan	71	69	103	74	110
108	Armenia	71	67	116	75	102
108	Moldova	71	67	116	75	102
108	Trinidad and Tobago	71	66	122	75	102
108	Ukraine	71	65	130	76	87
115	Fiji	70	67	116	72	119
115	Bangladesh	70	69	103	70	128
115	Solomon Islands	70	68	108	71	124
115	Indonesia	70	69	108	71	124
118	Philippines	69	66	122	73	115
118	Guatemala	69	66	122	73	115
118	Iraq	69	65	130	72	119
118	Russia	69	63	144	75	102
118	Kyrgyzstan	69	65	130	72	119
118	North Korea	69	65	130	72	119
118	Micronesia	69	67	116	70	128
126	Uzbekistan	68	66	122	71	124
126	Nepal	68	67	116	69	131
126	Mongolia	68	64	139	73	115
126	Laos	68	66	122	69	131
126	Tajikistan	68	67	116	69	131
131	Bhutan	67	66	122	69	131
131	Kiribati	67	65	130	71	124
131	Bolivia	67	65	130	69	131
131	Kazakhstan	67	62	149	72	119
131	Pakistan	67	66	122	68	136
136	Madagascar	66	65	130	68	136
136	Botswana	66	64	139	67	138
138	India	65	64	139	67	138
138	Myanmar	65	63	144	67	138
138	Namibia	65	64	139	66	143
138	Libya	65	58	160	74	110
138	Cambodia	65	64	139	66	143
143	Tuvalu	64	65	130	64	150
143	Yemen	64	63	144	66	143
143	Timor-Leste	64	63	144	65	146
143	Ghana	64	62	149	65	146
147	Turkmenistan	63	60	151	67	138
147	Guyana	63	60	151	67	138
147	Sao Tome and Principe	63	62	149	65	146
147	Papua New Guinea	63	62	149	65	146
147	Haiti	63	62	149	64	150
152	Gabon	62	61	150	64	150
152	Sudan	62	60	151	64	150
152	Comoros	62	60	151	63	155
155	Eritrea	61	59	156	64	150
155	Senegal	61	60	151	62	156
157	Ethiopia	60	59	156	62	156
157	Kenya	60	58	160	61	158
157	Rwanda	60	58	160	61	158
157	Marshall Islands	60	59	156	60	162
157	Afghanistan	60	59	156	61	158
162	Liberia	59	58	160	60	162
162	Tanzania	59	58	160	61	158
162	Mauritania	59	57	165	60	162
165	South Africa	58	57	165	60	162
165	Djibouti	58	57	165	60	162
165	Malawi	58	57	165	58	170
165	Gambia	58	57	165	60	162
165	Republic of the Congo	58	57	165	59	168
170	Benin	57	56	171	59	168
171	Burkina Faso	56	54	175	57	173
171	Uganda	56	54	175	57	173
171	Togo	56	55	172	58	170
171	Côte d'Ivoire	56	55	172	58	170
171	Niger	56	55	172	57	173
176	Guinea	55	54	175	56	176
176	Zambia	55	54	175	56	176
178	Equatorial Guinea	54	53	179	55	178
178	Zimbabwe	54	53	179	55	178
180	Cameroon	53	51	184	54	180
180	Burundi	53	52	181	54	180
180	Mozambique	53	52	181	53	183
180	Nigeria	53	52	181	54	180
184	Chad	51	50	185	53	183
184	Angola	51	50	185	53	183
184	Mali	51	50	185	53	183
187	Guinea Bissau	50	48	189	52	187
187	Swaziland	50	49	188	51	189
187	Somalia	50	48	189	52	187
187	Lesotho	50	49	188	50	191
191	Democratic Republic of the Congo	49	48	189	51	189
192	Central African Republic	48	47	192	50	191
