Year	Champions	Runners-up	Score in the final	3rd-place	4th-place
1998	Tanjong Pagar United	Singapore Armed Forces	2–0	Home United	Sembawang Rangers
1999	Singapore Armed Forces	Jurong FC	3–1	Home United	Balestier Central
2000	Home United	Singapore Armed Forces	1–0	Geylang United	Woodlands Wellington
2001	Home United	Geylang United	8–0	Singapore Armed Forces	Tanjong Pagar United
2002	Tampines Rovers	Jurong FC	1–0	Geylang United	Sengkang Marine
2003	Home United	Geylang United	2–1	Jurong FC , Woodlands Wellington	No 3rd-place playoff
2004	Tampines Rovers	Home United	4–1 (aet)	Geylang United , Sinchi FC	No 3rd-place playoff
2005	Home United	Woodlands Wellington	3–2	Singapore Armed Forces , Tampines Rovers	No 3rd-place playoff
2006	Tampines Rovers	Chonburi Province FC	3–2 (aet)	Woodlands Wellington	Balestier Khalsa
2007	Singapore Armed Forces	Tampines Rovers	4–3	Bangkok University FC	Woodlands Wellington
2008	Singapore Armed Forces	Woodlands Wellington	2–1 (aet)	Tampines Rovers	Young Lions
2009	Geylang United	Bangkok Glass FC	1–0	TTM Samut Sakhon	Albirex Niigata (Singapore))
2010	Bangkok Glass FC	Tampines Rovers	1–0	Etoile FC	Young Lions
2011	Home United	Albirex Niigata (Singapore)	1–0 (aet)	Etoile FC	Hougang United
