Entrant	Constructor	Car	Driver	Co-driver	Rounds
Abarth & C. Spa	Abarth	Fiat Abarth Grande Punto S2000	Giandomenico Basso	Mitia Dotta	1–9
Abarth & C. Spa	Abarth	Fiat Abarth Grande Punto S2000	Anton Alén	Timo Alanne	1–4, 6–9
Abarth & C. Spa	Abarth	Fiat Abarth Grande Punto S2000	Umberto Scandola	Guido D'Amore	5, 9
Abarth & C. Spa	Abarth	Fiat Abarth Grande Punto S2000	Umberto Scandola	Dario D'Esposito	8
Abarth & C. Spa	Abarth	Fiat Abarth Grande Punto S2000	Andrea Navarra	Guido D'Amore	8
Abarth & C. Spa	Abarth	Fiat Abarth Grande Punto S2000	Alessio Pisi	Luca Costantini	8
Abarth & C. Spa	Abarth	Fiat Abarth Grande Punto S2000	Renato Travaglia	Lorenzo Granai	8
Island Motorsport	Abarth	Fiat Abarth Grande Punto S2000	Renato Travaglia	Lorenzo Granai	1, 3, 5–6
Fiat Motorsport Turkey	Abarth	Fiat Abarth Grande Punto S2000	Volkan Isik	Kaan Özşenler	1, 3, 5–6
A.C. Principado de Asturias	Abarth	Fiat Abarth Grande Punto S2000	Daniel Sola	Oscar Sanchez	1–3, 7
Cersanit Rally Team	Abarth	Fiat Abarth Grande Punto S2000	Michal Solowow	Maciej Baran	1
Procar	Abarth	Fiat Abarth Grande Punto S2000	François Duval	Patrick Pivato	2
Fiat Vodafone	Abarth	Fiat Abarth Grande Punto S2000	José Pedro Fontes	António Costa	2, 5
H.F. Grifone SRL	Abarth	Fiat Abarth Grande Punto S2000	Didier Auriol	Denis Giraudet	2, 4, 8
Bluhunder Racing Italy	Abarth	Fiat Abarth Grande Punto S2000	Corrado Fontana	Carlo Cassina	3
Fiat Auto Eapaña	Abarth	Fiat Abarth Grande Punto S2000	Miguel Fuster	José Vincente Medina	7
Scuderia Solferino Rally	Abarth	Fiat Abarth Grande Punto S2000	Olivier Burri	Benjamin Veillas	9
Champion Racing	Peugeot	Peugeot 207 S2000	Jan Kopecký	Petr Starý	1–4
Peugeot Team Belux	Peugeot	Peugeot 207 S2000	Freddy Loix	Robin Buysmans	1–9
Peugeot Team Belux	Peugeot	Peugeot 207 S2000	Nicolas Vouilloz	Nicolas Klinger	1–9
BSA	Peugeot	Peugeot 207 S2000	Brice Tirabassi	Fabrice Gordon	1–5
Racing Lions SRL	Peugeot	Peugeot 207 S2000	Luca Rossetti	Matteo Chiarcossi	1–3, 5–6, 8–9
Stohl Racing	Peugeot	Peugeot 207 S2000	Manfred Stohl	Ilka Minor	2
Peugeot Total	Peugeot	Peugeot 207 S2000	Bruno Magalhães	Mário Castro	2
Peugeot Total	Peugeot	Peugeot 207 S2000	Bruno Magalhães	Carlos Magalhães	5, 7
BF Goodrich Drivers Team	Peugeot	Peugeot 207 S2000	Miguel Campos	Paulo Babo	2
BF Goodrich Drivers Team	Peugeot	Peugeot 207 S2000	Patrick Snijers	Wim Soenens	3
BF Goodrich Drivers Team	Peugeot	Peugeot 207 S2000	Pavel Valoušek	Zdeněk Hrůza	6
BF Goodrich Drivers Team	Peugeot	Peugeot 207 S2000	Sergio Vallejo	Diego Vallejo	7
BF Goodrich Drivers Team	Peugeot	Peugeot 207 S2000	Andrea Torlasco	Michele Brega	8
Peugeot Total Hungaria	Peugeot	Peugeot 207 S2000	János Tóth	Robert Tagai	2–3, 6, 9
Cersanit Rally Team	Peugeot	Peugeot 207 S2000	Michal Solowow	Maciej Baran	3, 5–6, 8
RRE Sports	Peugeot	Peugeot 207 S2000	Juho Hänninen	Mikko Markkula	4
Team de Ralis Olca	Peugeot	Peugeot 207 S2000	Alexandre Camacho	Pedro Calado	5
Tescoma Rally Team	Peugeot	Peugeot 207 S2000	Roman Kresta	Petr Gross	6
Peugeot Sport España	Peugeot	Peugeot 207 S2000	Enrique García Ojeda	Jordi Barrabes Costa	6–7
Peugeot Sport España	Peugeot	Peugeot 207 S2000	Luís Monzón	José Carlos Déniz	7
Peugeot Sport España	Peugeot	Peugeot 207 S2000	Oscar Garre	Pablo Marcos Secades	7
Peugeot Sport Polska	Peugeot	Peugeot 207 S2000	Bryan Bouffier	Xavier Panseri	6, 9
Lugano Racing Team	Peugeot	Peugeot 207 S2000	Gregoire Hotz	Pietro Ravasi	9
Red Bull Rally Team	Mitsubishi Ralliart	Mitsubishi Lancer Evo IX	Andreas Aigner	Klaus Wicha	2
Red Bull Rally Team	Mitsubishi Ralliart	Mitsubishi Lancer Evo IX	Bernardo Sousa	Carlos Magalhães	2
Ralliart Italy	Mitsubishi Ralliart	Mitsubishi Lancer Evo IX	Armindo Araújo	Miguel Ramalho	2
