Name	Built	Listed	Location	County
AJX Bridge over South Fork and Powder River	1931, 1932	1985-02-22	Kaycee	Johnson
BMU Bridge over Wind River	c.1935; moved 1953–1954	1985-02-22	Ethete	Fremont
CKW Bridge over Powder River	1932, 1933	1985-02-22	Arvada	Sheridan
CQA Four Mile Bridge	1927, 1928	1985-02-22	Thermopolis	Hot Springs
DDZ Bridge over New Fork River	1917	1985-02-22	Boulder	Sublette
DFU Elk Mountain Bridge	1923, 1924	1985-02-22	Elk Mountain	Carbon
DMJ Pick Bridge	1909, 1910, 1934	1985-02-22	Saratoga	Carbon
DML Butler Bridge	1930	1985-02-22	Encampment	Carbon
DOE Bridge over Laramie River	1926, 1932	1985-02-22	Bosler	Albany
DSD Bridge over Cheyenne River	c.1915, 1921, 1922	1985-02-22	Riverview	Niobrara
DUX Bessemer Bend Bridge	c.1920	1985-02-22	Bessemer Bend	Natrona
DXN Bridge over Missouri River	1921	1985-02-22	Hulett	Crook
EAU Arvada Bridge	1914	1985-02-22	Arvada	Sheridan
EBF Bridge over Powder River	1915	1985-02-22	Leiter	Sheridan
ECR Kooi Bridge	1913	1985-02-22	Monarch	Sheridan
ECS Bridge over Big Goose Creek	1914	1985-02-22	Sheridan	Sheridan
EDL Peloux Bridge	1912, 1913	1985-02-22	Buffalo	Johnson
EDZ Irigary Bridge	1913, 1963	1985-02-22	Sussex	Johnson
EFP Bridge over Owl Creek	1919, 1920	1985-02-22	Thermopolis	Hot Springs
EJE Bridge over Shell Creek	1920	1985-02-22	Shell	Big Horn
EJP County Line Bridge	1917	1985-02-22	Hyattville	Big Horn
EJZ Bridge over Shoshone River	1925, 1926	1985-02-22	Lovell	Big Horn
ELS Bridge over Big Wind River	c.1920	1985-02-22	Dubois	Fremont
ELY Wind River Diversion Dam Bridge	1924, 1925	1985-02-22	Morton	Fremont
ENP Bridge over Green River	c.1905	1985-02-22	Daniel	Sublette
ERT Bridge over Black's Fork	c.1920	1985-02-22	Fort Bridger	Uinta
ETD Bridge over Green River	1913	1985-02-22	Fontenelle	Sweetwater
ETR Big Island Bridge	1909, 1910	1985-02-22	Green River	Sweetwater
EWZ Bridge over East Channel of Laramie River	1913, 1914	1985-02-22	Wheatland	Platte
Hayden Arch Bridge	1924, 1925	1985-02-22	Cody	Park
Rairden Bridge	1916	1985-02-22	Manderson	Big Horn
