District	2010 Population (000)	2008 GDP (USD bn) a	2008 GDP per capita (USD) a	Agri culture b	Mining b	Manufac turing b	Services & cons truction b	Exports (USD mn) 2011	Median mo. salary (USD) a e	Vehicles (per 1000) d	Income poverty f	Structural poverty g
City of Buenos Aires	2890	118.000	40828	0.3	1.0	12.9	85.8	426	1618	528	7.3	7.8
Buenos Aires Province	15625	161.000	10303	4.5	0.1	21.3	74.1	28134	1364	266	16.2	15.8
Catamarca	368	2.331	6009	3.6	20.8	12.1	63.5	1596	1241	162	24.3	21.5
Chaco	1055	2.120	2015	12.6	0.0	7.5	79.9	602	1061	137	35.4	33.0
Chubut	509	7.110	15422	6.9	21.3	10.0	61.8	3148	2281	400	4.6	15.5
Córdoba	3309	33.239	10050	10.6	0.2	14.0	75.2	10635	1200	328	14.8	13.0
Corrientes	993	4.053	4001	12.6	0.0	8.2	79.2	230	1019	168	31.5	28.5
Entre Ríos	1236	7.137	5682	11.9	0.3	11.6	76.2	1908	1063	280	13.0	17.6
Formosa	530	1.555	2879	7.6	1.5	6.4	84.5	40	1007	107	30.7	33.6
Jujuy	673	2.553	3755	5.5	0.7	14.6	79.2	456	1123	153	30.0	28.8
La Pampa	319	2.000	5987	19.0	3.7	5.3	72.0	378	1164	364	13.6	10.3
La Rioja	334	1.419	4162	3.9	0.1	16.8	79.2	281	1040	172	22.0	20.4
Mendoza	1739	18.800	10758	5.4	6.1	17.5	71.0	1862	1153	313	12.2	15.4
Misiones	1102	4.044	3751	6.7	0.0	13.0	80.3	536	971	153	32.6	27.1
Neuquén	551	14.398	26273	0.7	42.8	2.9	53.6	353	2211	339	11.2	17.0
Río Negro	639	4.924	8247	4.9	8.4	7.3	79.4	670	1309	285	20.6	17.9
Salta	1214	5.165	4220	8.1	7.6	10.4	73.9	1332	1045	139	29.7	31.6
San Juan	681	3.927	5642	8.1	0.3	15.9	75.7	2470	1293	216	18.4	17.4
San Luis	432	2.444	5580	4.9	0.5	42.4	52.2	735	1288	245	22.0	15.6
Santa Cruz	274	6.892	30496	4.4	47.1	2.3	46.2	1857	2646	432	3.6	10.4
Santa Fe	3195	37.500	10670	10.1	0.0	17.4	72.5	17804	1265	299	18.2	14.8
Santiago del Estero	874	2.598	3003	11.5	0.1	6.2	82.2	1082	945	103	31.0	31.3
Tierra del Fuego	127	2.606	20682	4.7	18.5	18.6	58.2	443	2267	478	6.4	14.1
Tucumán	1448	5.807	3937	6.0	0.1	12.6	81.3	1031	973	146	27.7	23.9
