Team	2005–06 Pts	2006–07 Pts	2007–08 Pts	Total Pts	Total Pld
Boca Juniors	83	83	70	236	114
Estudiantes (LP)	52	81	69	202	114
River Plate	62	71	66	199	114
San Lorenzo	56	73	64	193	114
Vélez Sársfield	58	56	59	173	114
Lanús	58	59	56	173	114
Independiente	55	57	59	171	114
Tigre	0	0	56	56	38
Argentinos Juniors	50	46	61	157	114
Arsenal	44	62	51	157	114
Huracán	0	0	52	52	38
Banfield	59	39	54	152	114
Gimnasia y Esgrima (LP)	69	40	36	145	114
Newell'sOldBoys	51	38	53	142	114
Rosario Central	45	52	41	138	114
Colón	46	46	45	137	114
Racing	44	49	40	133	114
Gimnasia y Esgrima (J)	51	43	35	129	114
Olimpo	0	0	42	42	38
San Martín (SJ)	0	0	35	35	38
