Grid	Constructor	Qual	Rank	Laps	Time/Retired
14	Kurtis Kraft - Offenhauser	139.99	11	200	3:53:59.53
2	Kurtis Kraft - Offenhauser	139.98	13	200	+2:43.56
10	Kurtis Kraft - Offenhauser	140.27	5	200	+3:32.36
33	Kuzma - Offenhauser	134.11	33	200	+3:38.91
7	Kurtis Kraft - Offenhauser	139.76	16	200	+5:17.17
8	Kurtis Kraft - Offenhauser	139.09	22	200	+5:57.94
16	Kurtis Kraft - Offenhauser	139.81	15	200	+6:24.24
19	Kurtis Kraft - Offenhauser	139.19	21	200	+6:41.60
17	Kurtis Kraft - Offenhauser	139.41	18	200	+7:09.81
12	Kurtis Kraft - Offenhauser	140.14	7	200	+7:46.54
18	Kuzma - Offenhauser	139.33	19	197	+3 Laps
25	Kurtis Kraft - Offenhauser	138.06	25	196	+4 Laps
32	Trevis - Offenhauser	134.44	32	196	+4 Laps
20	Epperly - Offenhauser	138.7	24	191	+9 Laps
21	Phillips - Offenhauser	139.86	14	178	Transmission
9	Kurtis Kraft - Offenhauser	140.3	4	170	Accident
24	Kurtis Kraft - Offenhauser	138.75	23	168	Engine
31	Trevis - Offenhauser	135.01	31	142	Transmission
6	Kurtis Kraft - Offenhauser	140	10	134	Transmission
28	Schroeder - Offenhauser	136.04	28	120	Fuel Pump
27	Kurtis Kraft - Offenhauser	136.8	27	119	Magneto
13	Pawl - Offenhauser	140.11	8	112	Ignition
23	Kurtis Kraft - Offenhauser	139.2	20	111	Engine
11	Kuzma - Offenhauser	140.16	6	90	Fuel Pump
5	Kurtis Kraft - Offenhauser	141.07	3	56	Died in crash
3	Kurtis Kraft - Offenhauser	142.58	1	54	Magneto
22	Kurtis Kraft - Offenhauser	139.55	17	54	Accident
30	Kuzma - Offenhauser	135.04	30	53	Accident
26	Kurtis Kraft - Offenhauser	136.98	26	53	Accident
29	Kurtis Kraft - Offenhauser	135.33	29	53	Retirement
1	Stevens - Offenhauser	140.04	9	40	Oil Leak
4	Kurtis Kraft - Offenhauser	141.93	2	39	Spun Off
15	Pankratz - Offenhauser	139.99	12	10	Engine
