Date	H/A/N	Opponent	Score	Record
January 1	H	Baltimore Bullets	105-128	5-40
January 2	A	Milwaukee Bucks	73-118	5-41
January 4	H	Portland Trail Blazers	106-119	5-42
January 6	H	New York Knicks	94-127	5-43
January 7	H	Los Angeles Lakers	105-110	5-44
January 9	H	Buffalo Braves	111-89	6-44
January 14	A	Detroit Pistons	106-108	6-45
January 16	A	Philadelphia 76ers	96-115	6-46
January 19	N	Buffalo Braves	111-79	7-46
January 24	A	Boston Celtics	110-121	7-47
January 25	H	Boston Celtics	117-116	8-47
January 27	H	Portland Trail Blazers	118-104	9-47
January 29	A	Atlanta Hawks	111-119	9-48
January 31	H	Buffalo Braves	117-108	10-48
