Game	Date	Team	Score	High points	High rebounds	High assists	Location Attendance	Record
4	November 5	@ Utah	L 99–113 (OT)	Tony Parker (21)	Tim Duncan (13)	Richard Jefferson , Tony Parker (3)	EnergySolutions Arena 19,797	2–2
5	November 6	@ Portland	L 84–96 (OT)	Richard Jefferson (19)	Tim Duncan (8)	Manu Ginobili , Roger Mason (4)	Rose Garden 20,498	2–3
6	November 9	Toronto	W 131–124 (OT)	Manu Ginobili (36)	Antonio McDyess (10)	Richard Jefferson (7)	AT&T Center 17,714	3–3
7	November 11	Dallas	W 92–83 (OT)	Richard Jefferson (29)	Matt Bonner , Antonio McDyess (9)	Manu Ginobili (6)	AT&T Center 18,581	4–3
8	November 14	Oklahoma City	L 98–101 (OT)	Tim Duncan (22)	Tim Duncan (10)	Manu Ginobili (6)	AT&T Center 17,947	4–4
9	November 18	@ Dallas	L 94–99 (OT) ( OT )	Tim Duncan (22)	Tim Duncan (14)	Tim Duncan (6)	American Airlines Center 20,110	4–5
10	November 19	Utah	L 83–90 (OT)	Tim Duncan (21)	Tim Duncan (9)	Tim Duncan (5)	AT&T Center 17,519	4–6
11	November 21	Washington	W 106–84 (OT)	Tony Parker (17)	Theo Ratliff (11)	Tony Parker (8)	AT&T Center 16,888	5-6
12	November 23	Milwaukee	W 112–98 (OT)	Tim Duncan (24)	Tim Duncan (12)	Tony Parker (6)	AT&T Center 17,677	6-6
13	November 25	Golden State	W 118–104 (OT)	Tony Parker (32)	Tim Duncan (10)	Tony Parker (7)	AT&T Center 17,606	7-6
14	November 27	@ Houston	W 92–84 (OT)	Tim Duncan (21)	Antonio McDyess (14)	Tony Parker (7)	Toyota Center 18,164	8-6
