Game	December	Opponent	Score	Record	Points
22	1	@ Los Angeles Kings	4–2	15–4–3	33
23	3	@ Colorado Rockies	6–3	16–4–3	35
24	7	@ New York Rangers	3–3	16–4–4	36
25	8	New York Rangers	7–4	17–4–4	38
26	10	Chicago Black Hawks	4–2	18–4–4	40
27	11	Cleveland Barons	11–1	19–4–4	42
28	15	Boston Bruins	6–4	20–4–4	44
29	17	@ Atlanta Flames	4–3	21–4–4	46
30	18	Montreal Canadiens	0–2	21–5–4	46
31	21	@ Cleveland Barons	4–0	22–5–4	48
32	23	@ Boston Bruins	1–6	22–6–4	48
33	28	@ New York Rangers	4–3	23–6–4	50
34	29	Minnesota North Stars	5–2	24–6–4	52
35	31	@ St. Louis Blues	2–3	24–7–4	52
