Rd.	Race	Pole position	Fastest lap	Most laps led	Winning driver	Winning team	Report
1	St. Petersburg	Will Power	Hélio Castroneves	Dario Franchitti	Dario Franchitti	Chip Ganassi Racing	Report
2	Barber	Will Power	Scott Dixon	Will Power	Will Power	Team Penske	Report
3	Long Beach	Will Power	Dario Franchitti	Ryan Briscoe	Mike Conway	Andretti Autosport	Report
4	São Paulo	Will Power	Simona de Silvestro	Will Power	Will Power	Team Penske	Report
5	Indianapolis	Alex Tagliani	Dario Franchitti	Scott Dixon	Dan Wheldon	Bryan Herta Autosport	Report
6A	Texas	Alex Tagliani	E. J. Viso	Dario Franchitti	Dario Franchitti	Chip Ganassi Racing	Report
6B	Texas	Tony Kanaan	Scott Dixon	Will Power	Will Power	Team Penske	Report
7	Milwaukee	Dario Franchitti	Dario Franchitti	Dario Franchitti	Dario Franchitti	Chip Ganassi Racing	Report
8	Iowa	Takuma Sato	Alex Tagliani	Dario Franchitti	Marco Andretti	Andretti Autosport	Report
9	Toronto	Will Power	Justin Wilson	Will Power	Dario Franchitti	Chip Ganassi Racing	Report
10	Edmonton	Takuma Sato	Sébastien Bourdais	Will Power	Will Power	Team Penske	Report
11	Mid-Ohio	Scott Dixon	Scott Dixon	Scott Dixon	Scott Dixon	Chip Ganassi Racing	Report
12	New Hampshire	Dario Franchitti	Scott Dixon	Dario Franchitti	Ryan Hunter-Reay	Andretti Autosport	Report
13	Sonoma	Will Power	Will Power	Will Power	Will Power	Team Penske	Report
14	Baltimore	Will Power	Will Power	Will Power	Will Power	Team Penske	Report
15	Motegi	Scott Dixon	Giorgio Pantano	Scott Dixon	Scott Dixon	Chip Ganassi Racing	Report
16	Kentucky	Will Power	Ed Carpenter	Dario Franchitti	Ed Carpenter	Sarah Fisher Racing	Report
