Date	Tournament	Winning score	Margin of victory	Runner(s)-up
23 May 2007	Munsingwear Open KSB Cup (as an amateur)	–12 (72-69-69-66=276)	1 stroke	Katsumasa Miyamoto
2 Nov 2008	mynavi ABC Championship	–9 (70-70-70-69=279)	1 stroke	Keiichiro Fukabori
28 Jun 2009	Gateway to the Open Mizuno Open Yomiuri Classic	–13 (69-65-68-73=275)	3 strokes	David Smail
2 Aug 2009	Sun Chlorella Classic	–17 (65-68-71-67=271)	1 stroke	Brendan Jones
6 Sep 2009	Fujisankei Classic	–12 (69-65-68-70=272)	5 strokes	Daisuke Maruyama
4 Oct 2009	Coca-Cola Tokai Classic	–14 (71-68-66-69=274)	1 stroke	Takeshi Kajikawa
2 May 2010	The Crowns	–13 (68-70-71-58=267)	5 strokes	Hiroyuki Fujita , Paul Sheehan
5 Sep 2010	Fujisankei Classic	–9 (66-71-68-70=275)	Playoff	Shunsuke Sonoda
13 Nov 2010	Mitsui Sumitomo VISA Taiheiyo Masters	–14 (70-72-65-67=274)	2 strokes	Brendan Jones
11 Nov 2012	Mitsui Sumitomo VISA Taiheiyo Masters	–15 (67-69-69-68=273)	1 stroke	Michio Matsumura
